Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
-19.61,1.81,14.55,259,2043,7881,0,-1,0
-19.61,1.81,14.56,261,2057,7882,0,0,-1
-19.61,1.81,14.56,260,2060,7892,-1,0,-1
-19.61,1.81,14.56,252,2059,7884,-1,0,0
-19.61,1.81,14.55,249,2057,7894,-1,-1,0
-19.61,1.81,14.55,252,2050,7897,0,-1,0
-19.61,1.81,14.55,251,2047,7895,0,-1,0
-19.61,1.81,14.55,253,2048,7891,0,-1,0
-19.62,1.81,14.55,253,2052,7890,-1,-1,0
-19.62,1.81,14.55,255,2048,7898,0,-1,0
-19.62,1.82,14.55,252,2048,7905,0,-1,-1
-19.62,1.82,14.55,255,2047,7892,0,-1,0
-19.62,1.82,14.56,253,2049,7887,0,-1,0
-19.62,1.83,14.55,259,2046,7888,-1,0,0
-19.63,1.83,14.55,258,2045,7889,-1,-1,0
-19.63,1.83,14.55,257,2037,7878,0,-1,0
-19.63,1.84,14.55,261,2039,7880,0,-1,0
-19.63,1.84,14.55,260,2056,7884,-1,0,0
-19.64,1.84,14.55,260,2059,7891,-1,0,0
-19.64,1.84,14.55,262,2049,7905,-1,0,0
-19.64,1.84,14.54,256,2035,7899,0,-1,0
-19.64,1.84,14.54,254,2038,7903,0,-1,0
-19.64,1.84,14.55,254,2050,7898,0,-1,0
-19.64,1.84,14.55,256,2058,7892,0,-1,0
-19.65,1.85,14.55,261,2056,7880,-1,-1,0
-19.65,1.86,14.54,272,2051,7885,-1,-1,0
-19.65,1.86,14.54,268,2048,7888,-1,0,0
-19.65,1.85,14.55,260,2039,7887,0,-1,0
-19.65,1.85,14.55,254,2035,7896,0,0,0
-19.66,1.86,14.54,258,2038,7898,0,-1,0
-19.65,1.86,14.54,257,2043,7887,-1,-1,0
-19.66,1.86,14.54,257,2041,7879,-1,-1,0
-19.66,1.86,14.54,263,2046,7874,-1,0,0
-19.66,1.86,14.54,255,2042,7876,-1,0,0
-19.65,1.85,14.54,251,2038,7889,0,0,-1
-19.65,1.85,14.54,252,2042,7895,0,-1,0
-19.66,1.86,14.54,254,2042,7886,0,-1,0
-19.66,1.86,14.54,257,2044,7897,0,-1,0
-19.66,1.86,14.54,261,2041,7893,0,-1,0
-19.66,1.86,14.54,261,2044,7891,0,0,0
-19.66,1.86,14.54,259,2044,7891,-1,-1,-1
-19.66,1.86,14.53,259,2042,7891,-1,-1,0
