Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
177.09,-4.01,-43.48,-565,-5711,6010,0,0,0
177.08,-4.02,-43.47,-578,-5719,6021,0,-1,-1
177.09,-4.01,-43.47,-578,-5720,6024,0,-1,-1
177.09,-4.01,-43.47,-593,-5720,6012,0,-1,-1
177.08,-4.02,-43.47,-594,-5710,6001,0,-1,-1
177.08,-4.01,-43.46,-581,-5716,5995,0,-1,0
177.08,-4.00,-43.46,-566,-5715,6005,0,0,0
177.08,-4.01,-43.45,-556,-5700,6008,0,0,0
177.08,-4.01,-43.44,-549,-5689,6016,0,0,0
177.07,-4.03,-43.44,-573,-5683,6033,-1,0,0
177.07,-4.03,-43.45,-570,-5687,6027,-1,0,0
177.06,-4.04,-43.47,-571,-5691,6022,-1,0,0
177.06,-4.05,-43.48,-578,-5687,6015,-1,0,0
177.05,-4.06,-43.51,-595,-5708,5998,-1,-1,0
177.05,-4.07,-43.53,-587,-5722,5994,-1,0,0
177.04,-4.08,-43.54,-587,-5725,5990,-1,0,0
177.04,-4.09,-43.55,-593,-5714,6012,-1,0,0
177.03,-4.10,-43.57,-595,-5741,5975,0,0,0
177.03,-4.11,-43.58,-582,-5737,5994,-1,0,0
177.02,-4.12,-43.58,-599,-5707,5997,-1,0,-1
177.02,-4.12,-43.59,-571,-5703,6019,-1,0,0
177.02,-4.14,-43.61,-585,-5708,5991,-1,0,0
177.01,-4.15,-43.62,-595,-5699,6018,-2,0,0
177.00,-4.16,-43.65,-580,-5732,6012,-1,0,0
177.00,-4.17,-43.67,-596,-5717,5985,-1,0,-1
177.00,-4.18,-43.69,-592,-5720,6000,-1,0,0
177.00,-4.18,-43.71,-606,-5729,5957,-1,-1,0
176.99,-4.19,-43.71,-611,-5727,5975,-1,-1,0
176.99,-4.19,-43.72,-595,-5750,5983,-1,0,0
176.99,-4.19,-43.73,-620,-5743,5985,-1,-1,-1
176.99,-4.19,-43.74,-604,-5740,5984,-1,-1,-1
176.98,-4.19,-43.74,-609,-5745,5995,-1,-1,0
176.98,-4.19,-43.74,-598,-5720,6014,-1,0,-1
176.98,-4.19,-43.76,-596,-5719,5997,-1,-1,0
176.97,-4.19,-43.77,-598,-5712,6000,-1,0,0
176.97,-4.18,-43.80,-592,-5732,5982,-2,-1,0
176.96,-4.19,-43.82,-592,-5730,5981,-1,0,0
176.95,-4.18,-43.85,-581,-5741,5968,-1,-1,0
176.95,-4.19,-43.85,-601,-5738,5980,-1,0,0
176.93,-4.19,-43.89,-606,-5746,5974,-2,-1,0
176.92,-4.20,-43.92,-616,-5759,5996,-1,0,0
176.91,-4.20,-43.94,-612,-5740,5967,-2,-1,0
176.90,-4.20,-43.98,-594,-5742,6007,-2,-1,0
176.88,-4.21,-44.02,-604,-5742,5963,-2,-1,0
176.88,-4.21,-44.06,-617,-5736,5998,-2,-1,0
176.87,-4.19,-44.11,-596,-5736,5980,-3,-2,0
176.87,-4.17,-44.17,-586,-5770,5955,-2,-2,0
176.85,-4.16,-44.23,-588,-5761,5892,-2,-1,0
176.83,-4.14,-44.27,-599,-5785,5918,-2,-3,0
176.82,-4.11,-44.31,-577,-5820,5866,-1,-1,0
176.79,-4.12,-44.31,-628,-5792,5909,-1,-2,0
176.79,-4.08,-44.33,-612,-5787,5947,-2,-2,0
176.78,-4.03,-44.37,-603,-5845,5930,-1,-4,-1
176.80,-3.99,-44.37,-579,-5795,5900,0,-2,-1
176.79,-3.95,-44.37,-596,-5800,5899,0,-3,0
176.79,-3.92,-44.36,-596,-5825,5891,0,-2,-1
176.81,-3.87,-44.33,-548,-5808,5915,1,-1,-1
176.82,-3.84,-44.32,-557,-5825,5941,0,-2,-1
176.84,-3.81,-44.31,-552,-5807,5950,-1,-2,-1
176.85,-3.77,-44.30,-518,-5813,5927,0,-1,-1
176.86,-3.76,-44.28,-520,-5805,5930,0,-1,-1
176.87,-3.75,-44.27,-520,-5791,5958,-1,-1,-1
176.87,-3.75,-44.26,-502,-5764,5951,0,0,0
176.88,-3.74,-44.26,-503,-5761,5935,-1,0,-1
176.88,-3.75,-44.27,-514,-5767,5930,-1,0,0
176.87,-3.76,-44.28,-535,-5792,5913,0,0,-1
176.88,-3.76,-44.28,-547,-5794,5945,-1,-1,-1
176.87,-3.76,-44.29,-546,-5811,5939,-1,0,0
176.87,-3.77,-44.29,-549,-5814,5922,0,0,-1
176.88,-3.76,-44.29,-541,-5824,5918,0,0,-1
176.88,-3.76,-44.27,-544,-5799,5933,0,-1,-1
176.88,-3.76,-44.26,-540,-5785,5938,0,-1,0
176.89,-3.75,-44.25,-525,-5783,5928,0,0,-1
176.89,-3.75,-44.24,-532,-5784,5920,0,0,-1
176.89,-3.75,-44.23,-528,-5782,5937,0,0,0
176.90,-3.75,-44.23,-522,-5776,5961,0,0,0
176.89,-3.77,-44.23,-541,-5781,5947,0,0,-1
176.90,-3.76,-44.23,-546,-5789,5946,0,0,-1
176.91,-3.76,-44.23,-548,-5805,5922,0,0,-1
176.91,-3.76,-44.21,-539,-5780,5927,0,0,-1
176.91,-3.76,-44.21,-544,-5786,5927,0,-1,-1
176.92,-3.75,-44.20,-545,-5790,5939,0,-1,-1
176.92,-3.76,-44.18,-535,-5802,5942,0,0,-1
176.93,-3.75,-44.17,-545,-5799,5939,0,0,-1
176.94,-3.75,-44.15,-537,-5780,5955,0,0,-1
176.95,-3.75,-44.13,-540,-5769,5948,0,0,-1
176.95,-3.75,-44.12,-533,-5753,5965,0,0,-1
176.95,-3.75,-44.11,-532,-5765,5964,0,-1,0
176.95,-3.74,-44.11,-531,-5768,5958,0,0,-1
176.96,-3.75,-44.10,-535,-5778,5960,0,0,-1
176.95,-3.75,-44.10,-542,-5779,5954,0,0,-1
176.96,-3.76,-44.09,-541,-5780,5961,0,0,-1
176.97,-3.75,-44.09,-533,-5781,5956,0,0,-1
176.97,-3.75,-44.09,-526,-5778,5965,0,-1,-1
176.97,-3.75,-44.08,-510,-5783,5949,0,0,0
176.97,-3.74,-44.07,-523,-5774,5950,0,0,0
176.98,-3.74,-44.06,-523,-5765,5955,0,0,0
176.98,-3.74,-44.06,-527,-5771,5952,0,0,0
176.98,-3.75,-44.05,-534,-5770,5936,0,0,-1
176.98,-3.75,-44.04,-535,-5766,5943,0,0,-1
176.99,-3.75,-44.03,-536,-5761,5959,0,0,-1
176.99,-3.76,-44.03,-541,-5759,5956,0,0,0
176.99,-3.76,-44.02,-542,-5768,5959,0,-1,-1
176.99,-3.75,-44.02,-536,-5779,5949,0,0,-1
176.99,-3.75,-44.00,-540,-5776,5948,0,0,-1
177.00,-3.76,-43.99,-545,-5758,5966,0,0,-1
177.00,-3.75,-43.97,-542,-5756,5966,0,0,-1
177.01,-3.75,-43.96,-531,-5751,5971,0,0,-1
177.01,-3.75,-43.95,-529,-5750,5973,0,0,-1
177.02,-3.74,-43.94,-527,-5751,5979,0,0,-1
177.03,-3.74,-43.93,-525,-5745,5984,0,0,-1
177.04,-3.73,-43.93,-532,-5757,5981,0,0,-1
177.05,-3.73,-43.92,-539,-5767,5982,0,0,-1
177.06,-3.73,-43.92,-552,-5767,5976,0,0,-1
