0.00,4.04
37.25,4.03
36.94,4.03
36.88,4.02
37.06,4.01
37.75,4.01
38.06,4.01
38.38,8.15
38.94,8.15
39.25,8.15
39.38,8.15
39.56,8.15
39.50,8.15
39.19,8.15
38.81,8.15
38.75,8.15
38.81,8.15
39.06,8.15
37.94,8.15
37.31,8.15
37.06,8.15
37.19,8.15
37.44,8.15
37.69,8.15
38.13,8.15
38.50,8.15
38.69,8.15
38.69,8.15
38.75,8.15
38.88,8.15
39.00,8.15
38.94,8.15
39.06,8.15
39.00,8.15
39.00,8.15
39.00,8.15
39.13,8.15
39.13,8.15
38.13,8.15
37.81,8.15
37.50,8.15
37.63,8.15
38.44,8.15
39.19,8.15
39.75,8.15
39.88,8.15
39.88,8.15
40.06,8.15
40.00,8.15
40.13,8.15
40.13,8.15
38.31,8.15
37.50,8.15
37.19,8.15
37.75,8.15
38.13,8.15
37.94,8.15
37.69,8.15
37.38,8.15
36.81,8.15
36.69,8.15
36.75,8.15
37.44,8.15
37.75,8.15
38.00,8.15
37.75,8.15
37.75,8.15
37.81,8.15
38.56,8.15
39.00,8.15
39.25,8.15
