Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
65.49,8.44,-18.21,1217,-2563,7747,-1,0,0
65.48,8.46,-18.21,1241,-2550,7721,0,-1,0
65.49,8.44,-18.20,1205,-2545,7717,-1,0,0
65.49,8.46,-18.20,1228,-2558,7714,0,-1,-1
65.49,8.45,-18.19,1220,-2587,7741,0,0,-1
65.49,8.45,-18.19,1234,-2568,7758,0,0,-1
65.49,8.43,-18.19,1203,-2560,7762,-1,0,0
65.49,8.43,-18.19,1195,-2544,7760,0,0,0
65.48,8.42,-18.18,1189,-2560,7758,-1,-1,0
65.47,8.42,-18.19,1193,-2544,7735,0,0,0
65.47,8.41,-18.20,1192,-2581,7733,-1,-1,0
65.46,8.41,-18.19,1193,-2537,7729,0,0,0
65.45,8.41,-18.18,1200,-2546,7728,0,-1,0
65.45,8.41,-18.17,1194,-2551,7763,0,0,0
65.45,8.42,-18.17,1213,-2562,7759,0,-1,0
65.45,8.42,-18.16,1204,-2546,7742,0,0,0
65.44,8.42,-18.14,1217,-2519,7743,0,-1,0
65.45,8.42,-18.13,1194,-2509,7733,0,-1,0
65.43,8.43,-18.13,1199,-2502,7732,0,-1,0
65.42,8.44,-18.12,1201,-2512,7739,0,-1,0
65.42,8.46,-18.12,1225,-2511,7733,0,0,-1
65.44,8.46,-18.11,1215,-2494,7755,-1,-1,-1
65.44,8.47,-18.11,1211,-2517,7755,-1,-1,-1
65.45,8.48,-18.12,1207,-2532,7758,-1,0,-1
65.46,8.48,-18.14,1233,-2546,7748,0,-1,-1
65.46,8.48,-18.16,1227,-2589,7742,-1,0,-1
65.47,8.47,-18.17,1214,-2592,7732,-1,0,-1
65.47,8.47,-18.17,1213,-2605,7706,0,-1,-1
65.47,8.47,-18.15,1233,-2570,7733,0,0,0
65.46,8.47,-18.14,1208,-2556,7730,0,-1,0
65.46,8.48,-18.13,1222,-2543,7750,-1,0,0
65.45,8.48,-18.13,1211,-2547,7734,0,-1,0
65.44,8.48,-18.12,1212,-2548,7748,0,0,0
65.44,8.47,-18.12,1212,-2524,7753,0,0,0
65.44,8.46,-18.11,1188,-2498,7744,-1,-1,0
65.44,8.47,-18.10,1191,-2476,7757,-1,-1,0
65.44,8.46,-18.11,1180,-2505,7760,-1,0,-1
65.44,8.46,-18.12,1185,-2493,7757,-1,0,-1
65.45,8.46,-18.13,1194,-2525,7721,-1,-1,-1
65.45,8.48,-18.15,1219,-2553,7734,-1,-1,-1
65.46,8.48,-18.17,1246,-2588,7724,0,-1,-1
65.45,8.49,-18.17,1246,-2592,7726,0,-1,0
65.45,8.50,-18.16,1263,-2585,7729,0,-1,0
65.45,8.50,-18.16,1244,-2574,7736,0,0,0
65.45,8.50,-18.14,1242,-2539,7745,0,0,-1
65.45,8.49,-18.14,1227,-2557,7739,0,0,0
65.45,8.48,-18.14,1207,-2537,7772,-1,0,0
65.45,8.47,-18.14,1187,-2548,7747,-1,-1,0
65.44,8.46,-18.17,1189,-2550,7754,-1,0,0
65.43,8.46,-18.19,1192,-2558,7742,-1,-1,0
65.42,8.45,-18.20,1208,-2550,7760,-1,0,0
65.42,8.46,-18.19,1227,-2539,7754,0,-1,0
65.42,8.46,-18.19,1214,-2524,7756,-1,-1,0
65.43,8.46,-18.18,1213,-2515,7752,0,-1,-1
65.43,8.46,-18.19,1193,-2533,7723,-1,0,-1
65.44,8.45,-18.18,1180,-2539,7724,-1,0,-1
65.44,8.45,-18.18,1160,-2562,7696,0,-1,-1
65.45,8.45,-18.17,1147,-2561,7712,0,-1,-1
65.45,8.47,-18.17,1171,-2583,7722,0,-1,-1
65.45,8.48,-18.16,1192,-2581,7744,0,-1,0
65.44,8.51,-18.15,1229,-2582,7738,0,-1,0
65.44,8.52,-18.14,1242,-2571,7745,0,-1,0
65.43,8.53,-18.12,1251,-2557,7731,0,-1,0
65.44,8.54,-18.11,1253,-2570,7734,0,-1,0
65.43,8.56,-18.09,1260,-2550,7735,0,-1,0
65.43,8.56,-18.06,1251,-2542,7728,1,-1,0
65.42,8.57,-18.03,1248,-2521,7737,0,-1,0
65.42,8.58,-18.01,1261,-2517,7734,1,-1,0
65.42,8.58,-17.99,1257,-2491,7759,0,0,0
65.42,8.58,-17.97,1241,-2477,7757,0,0,-1
65.42,8.57,-17.97,1214,-2483,7767,-1,0,0
65.42,8.56,-17.98,1206,-2497,7753,-1,0,0
65.42,8.55,-17.99,1195,-2535,7736,-1,0,-1
65.41,8.54,-17.99,1200,-2539,7747,0,-1,0
65.41,8.55,-17.98,1208,-2542,7727,0,-1,0
65.40,8.55,-17.97,1209,-2518,7742,0,0,0
65.39,8.55,-17.97,1219,-2515,7733,0,-1,0
65.38,8.56,-17.97,1243,-2510,7758,0,0,0
65.37,8.56,-17.96,1237,-2512,7760,0,-1,0
65.37,8.56,-17.95,1241,-2512,7760,0,-1,-1
65.37,8.56,-17.95,1235,-2513,7747,0,0,-1
65.37,8.55,-17.95,1213,-2530,7741,-1,-1,-1
65.37,8.56,-17.94,1231,-2523,7749,0,0,0
65.38,8.55,-17.93,1210,-2500,7750,0,-1,-1
65.37,8.56,-17.91,1223,-2469,7764,-1,-1,0
65.37,8.56,-17.93,1243,-2497,7788,-1,0,0
65.36,8.55,-17.94,1230,-2494,7758,-1,0,0
65.37,8.54,-17.95,1224,-2521,7738,-1,-1,-1
65.38,8.54,-17.96,1207,-2529,7714,0,0,-1
65.39,8.55,-17.95,1220,-2520,7719,0,-1,-1
65.40,8.55,-17.94,1234,-2500,7752,-1,0,-1
65.39,8.55,-17.96,1246,-2510,7762,-1,0,-1
65.40,8.53,-17.97,1213,-2514,7744,-1,0,-1
65.40,8.53,-17.98,1216,-2532,7744,-1,0,-1
65.41,8.51,-18.00,1176,-2544,7742,-1,-1,-1
65.40,8.52,-18.01,1203,-2541,7730,-1,-1,-1
65.40,8.51,-18.01,1184,-2544,7722,0,-1,-1
65.40,8.52,-18.01,1210,-2527,7734,-1,0,-1
65.40,8.51,-18.02,1204,-2547,7746,-1,-1,-1
65.41,8.52,-18.02,1211,-2546,7744,0,-1,-1
65.40,8.53,-18.01,1208,-2558,7763,0,-1,0
65.40,8.55,-18.00,1231,-2526,7763,0,-1,-1
65.40,8.55,-18.00,1238,-2514,7755,-1,-1,0
65.40,8.56,-17.98,1231,-2489,7759,0,-1,0
65.39,8.56,-17.98,1244,-2485,7766,-1,-1,0
65.39,8.56,-17.98,1221,-2466,7751,-1,0,0
65.38,8.57,-18.00,1245,-2491,7765,-1,-1,0
65.39,8.56,-18.03,1224,-2512,7751,-2,0,-1
65.39,8.56,-18.05,1247,-2528,7727,-1,0,-1
65.40,8.55,-18.07,1243,-2544,7738,-2,0,-1
65.40,8.54,-18.10,1227,-2583,7719,-1,-1,-1
65.41,8.53,-18.11,1225,-2603,7733,-1,0,-1
65.40,8.53,-18.13,1224,-2594,7747,0,0,-1
65.40,8.51,-18.13,1192,-2593,7759,-1,0,0
65.40,8.50,-18.12,1203,-2560,7750,0,0,-1
65.40,8.49,-18.12,1189,-2560,7759,-1,0,0
65.40,8.49,-18.11,1207,-2526,7738,0,-1,0
65.39,8.48,-18.12,1216,-2521,7735,0,-1,0
65.39,8.49,-18.11,1233,-2517,7726,-1,0,0
65.39,8.48,-18.09,1209,-2489,7745,0,-1,-1
65.39,8.47,-18.08,1195,-2504,7762,-1,0,-1
65.40,8.44,-18.09,1158,-2500,7778,-1,-1,-1
65.40,8.45,-18.10,1179,-2508,7751,-2,0,-1
65.41,8.45,-18.12,1207,-2536,7731,-1,-1,-1
65.42,8.45,-18.15,1228,-2568,7708,-2,0,0
65.41,8.46,-18.17,1233,-2595,7701,0,-1,0
65.40,8.46,-18.16,1207,-2600,7701,0,-1,0
65.39,8.46,-18.16,1203,-2593,7721,0,-1,0
65.38,8.46,-18.14,1191,-2563,7736,0,-1,0
65.36,8.48,-18.13,1209,-2548,7739,0,-1,0
65.35,8.49,-18.12,1219,-2533,7742,0,-1,0
65.34,8.52,-18.10,1240,-2522,7728,0,-1,0
65.34,8.53,-18.09,1259,-2505,7739,0,-1,0
65.35,8.54,-18.07,1262,-2479,7752,0,0,-1
65.36,8.54,-18.06,1237,-2467,7755,-1,0,-1
65.37,8.53,-18.06,1233,-2470,7758,-1,0,-1
65.38,8.53,-18.09,1215,-2521,7728,-1,0,-1
65.39,8.53,-18.09,1241,-2526,7734,-1,0,-1
65.39,8.52,-18.12,1217,-2558,7707,-1,0,0
65.39,8.52,-18.13,1223,-2561,7739,-1,0,0
65.38,8.50,-18.14,1211,-2560,7720,0,0,0
65.37,8.50,-18.15,1195,-2554,7723,-1,0,0
65.37,8.49,-18.17,1204,-2566,7723,-1,-1,0
65.35,8.49,-18.18,1202,-2574,7752,-1,-1,0
65.34,8.49,-18.18,1218,-2565,7762,-1,-1,0
65.33,8.48,-18.20,1187,-2572,7774,-1,0,0
65.30,8.47,-18.21,1173,-2532,7798,-1,-1,0
65.29,8.47,-18.23,1232,-2517,7732,-2,0,0
65.29,8.48,-18.25,1262,-2550,7721,-1,0,-1
65.29,8.47,-18.27,1266,-2593,7718,0,0,-1
65.31,8.47,-18.25,1244,-2594,7771,-1,0,0
65.30,8.45,-18.25,1203,-2584,7738,0,-1,-1
65.30,8.45,-18.24,1195,-2582,7705,0,0,-1
65.32,8.45,-18.22,1193,-2545,7696,1,0,-1
65.33,8.44,-18.19,1147,-2486,7715,0,-1,0
65.31,8.44,-18.17,1147,-2390,7768,-1,-2,0
65.31,8.45,-18.19,1201,-2418,7747,-2,0,-1
65.32,8.46,-18.22,1197,-2476,7751,-2,0,-1
65.32,8.47,-18.27,1216,-2527,7730,-2,-1,0
65.32,8.47,-18.33,1219,-2583,7740,-3,0,-1
65.31,8.47,-18.38,1232,-2649,7725,-1,-1,-1
65.32,8.47,-18.41,1236,-2658,7724,-1,0,-1
65.32,8.47,-18.41,1239,-2626,7726,-1,0,-1
65.32,8.47,-18.43,1225,-2635,7729,-1,-1,0
65.32,8.47,-18.42,1222,-2593,7761,-1,0,0
65.31,8.47,-18.43,1216,-2599,7744,0,-1,0
65.32,8.46,-18.43,1215,-2584,7755,-1,0,-1
65.32,8.46,-18.43,1221,-2578,7755,0,0,-1
65.33,8.45,-18.42,1203,-2573,7739,-1,0,-1
65.35,8.44,-18.42,1196,-2572,7734,0,0,-1
65.37,8.43,-18.43,1193,-2600,7727,-1,0,-1
65.37,8.43,-18.44,1178,-2598,7712,-1,0,-1
65.38,8.43,-18.45,1185,-2624,7691,0,-1,-1
65.37,8.43,-18.45,1166,-2635,7694,0,-1,0
65.37,8.44,-18.44,1189,-2634,7692,1,-1,0
65.36,8.44,-18.42,1181,-2605,7701,0,-1,0
65.36,8.45,-18.39,1183,-2576,7711,0,-1,0
65.35,8.46,-18.38,1193,-2574,7721,0,-1,0
65.34,8.48,-18.36,1193,-2543,7747,0,-1,0
65.34,8.49,-18.36,1211,-2563,7730,-1,-1,0
65.34,8.49,-18.36,1214,-2550,7739,-1,-1,-1
65.35,8.51,-18.36,1241,-2584,7728,0,-1,-1
65.35,8.51,-18.36,1237,-2586,7743,0,-1,-1
65.35,8.52,-18.34,1236,-2576,7743,0,-1,0
65.35,8.52,-18.32,1231,-2558,7750,0,-1,0
65.34,8.53,-18.32,1242,-2544,7737,0,-1,0
65.34,8.53,-18.32,1249,-2559,7716,0,-1,0
65.34,8.53,-18.31,1258,-2565,7748,0,0,0
65.33,8.52,-18.30,1240,-2563,7725,0,0,0
65.34,8.52,-18.29,1218,-2542,7726,0,0,-1
65.34,8.51,-18.29,1222,-2534,7721,-1,0,-1
65.34,8.50,-18.29,1217,-2547,7725,-1,0,-1
65.35,8.50,-18.30,1213,-2568,7702,0,0,-1
65.35,8.49,-18.30,1183,-2592,7701,0,0,-1
65.35,8.49,-18.29,1192,-2589,7713,0,-1,-1
65.35,8.49,-18.27,1202,-2567,7733,0,-1,0
65.35,8.50,-18.26,1216,-2542,7736,0,-1,0
65.34,8.50,-18.26,1211,-2542,7737,0,-1,0
65.34,8.50,-18.25,1222,-2519,7725,0,0,0
65.34,8.50,-18.25,1209,-2522,7737,-1,-1,-1
65.35,8.50,-18.25,1221,-2524,7757,-1,0,-1
65.35,8.50,-18.25,1222,-2527,7777,-1,0,-1
65.36,8.49,-18.25,1209,-2527,7764,-1,0,-1
65.36,8.50,-18.28,1244,-2569,7746,-1,-1,-1
65.36,8.49,-18.28,1211,-2567,7734,-1,0,-1
65.37,8.49,-18.29,1220,-2583,7712,-1,-1,-1
65.37,8.48,-18.31,1202,-2611,7733,-1,0,0
65.36,8.48,-18.32,1203,-2618,7747,-1,-1,0
65.34,8.48,-18.32,1201,-2594,7717,0,-1,0
65.33,8.49,-18.33,1238,-2571,7690,0,0,0
65.32,8.48,-18.32,1204,-2571,7707,0,0,0
65.31,8.48,-18.31,1234,-2553,7737,0,-1,0
65.31,8.47,-18.31,1211,-2559,7744,-1,0,-1
65.32,8.46,-18.32,1225,-2582,7753,0,0,-1
65.33,8.45,-18.32,1198,-2594,7748,0,0,-1
65.33,8.45,-18.32,1223,-2579,7738,0,0,-1
65.33,8.44,-18.32,1207,-2566,7730,0,-1,0
65.34,8.44,-18.30,1222,-2544,7724,0,0,0
65.33,8.42,-18.30,1196,-2549,7739,0,-1,0
65.33,8.43,-18.30,1208,-2542,7739,-1,0,0
65.33,8.42,-18.29,1199,-2568,7734,0,-1,0
65.33,8.42,-18.29,1212,-2557,7741,0,0,0
