Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
0.10,0.47,-0.36,1126,-2495,3541,-8,-7,-4
0.19,0.84,-1.08,1472,-3468,4936,-10,-6,-3
0.29,1.14,-1.94,1585,-3944,5618,-17,-4,-4
0.43,1.35,-2.99,673,-4860,5691,-20,3,-8
0.71,1.99,-3.86,2208,-4219,6393,-23,-20,-4
0.88,2.35,-4.63,2104,-4828,6102,-5,-2,-9
1.27,2.54,-5.08,2266,-5352,6057,12,4,-16
1.75,2.63,-4.99,2059,-4992,6307,17,3,-18
2.22,2.80,-4.98,2031,-4729,6540,12,1,-18
2.68,2.95,-5.17,2025,-4643,6594,6,2,-15
3.06,3.09,-5.48,2147,-4485,6504,0,5,-13
3.37,3.12,-6.04,2091,-4348,6398,-7,6,-9
3.58,3.11,-6.43,2009,-4374,6292,4,7,-7
3.76,3.11,-6.62,1995,-4327,6331,8,6,-7
3.99,3.19,-6.69,2085,-4315,6523,11,4,-10
4.19,3.27,-6.65,2017,-4318,6745,15,3,-7
4.35,3.41,-6.58,1994,-4221,6884,14,0,-5
4.43,3.60,-6.56,2005,-4019,6946,10,-1,-2
4.42,3.81,-6.72,1986,-3912,6889,3,-2,1
4.34,4.05,-7.04,2022,-3902,6781,0,-4,4
4.23,4.30,-7.43,2065,-3973,6720,-3,-3,5
4.11,4.52,-7.82,2154,-4126,6649,1,-2,4
4.03,4.71,-8.10,2139,-4203,6717,3,-2,3
4.00,4.92,-8.35,2113,-4190,6872,2,-2,0
3.95,5.22,-8.70,2055,-4203,6950,-1,-8,2
3.91,5.57,-9.12,2124,-4230,6723,-4,-8,3
3.88,5.92,-9.35,2117,-4077,6773,2,-8,1
3.87,6.27,-9.73,2071,-4052,6672,-4,-7,0
3.89,6.59,-10.14,2060,-4139,6782,-3,-9,0
3.93,6.95,-10.52,2113,-4120,6827,-2,-9,-1
4.03,7.34,-10.90,2298,-4008,6757,-6,-6,-3
4.16,7.56,-11.33,2388,-4234,6299,2,4,-6
4.27,7.75,-11.59,2421,-4103,6909,-10,-9,1
4.30,8.01,-12.08,2421,-4318,6633,0,-4,0
4.27,8.27,-12.44,2407,-4303,6657,-3,-5,3
4.19,8.57,-12.83,2380,-4328,6644,-2,-9,4
4.10,8.89,-13.21,2374,-4310,6625,-3,-9,5
3.99,9.28,-13.62,2390,-4277,6591,-5,-12,5
3.88,9.66,-14.07,2458,-4286,6527,-5,-10,5
3.79,10.00,-14.50,2492,-4301,6493,-5,-9,4
3.73,10.29,-14.96,2563,-4304,6522,-6,-6,4
3.67,10.55,-15.44,2607,-4359,6493,-6,-5,4
3.63,10.73,-15.89,2596,-4415,6469,-6,-3,3
3.64,10.89,-16.32,2673,-4455,6440,-5,-1,1
3.67,11.00,-16.72,2658,-4465,6458,-5,1,0
3.74,11.09,-17.11,2613,-4491,6461,-5,0,-1
3.80,11.18,-17.50,2587,-4530,6505,-5,0,0
