Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
144.78,179.12,-134.37,141,-6023,-5910,0,-1,0
144.79,179.12,-134.36,128,-6012,-5904,0,-1,0
144.79,179.13,-134.36,137,-6021,-5893,0,-1,0
144.78,179.14,-134.36,127,-6012,-5881,-1,-1,0
144.77,179.14,-134.36,129,-6023,-5904,-1,-1,0
144.77,179.15,-134.37,118,-6017,-5906,-1,-1,-1
144.77,179.15,-134.37,120,-6012,-5913,-1,-1,-1
144.76,179.14,-134.38,123,-6011,-5919,0,-1,-1
144.78,179.14,-134.37,125,-6014,-5908,0,-1,0
144.78,179.14,-134.36,135,-6017,-5906,0,0,-1
144.78,179.13,-134.36,140,-6017,-5893,-1,-1,0
144.78,179.14,-134.37,146,-6013,-5902,-1,-1,0
144.76,179.15,-134.39,137,-6010,-5900,-1,-1,0
144.76,179.15,-134.39,134,-6012,-5906,-1,-1,0
144.75,179.16,-134.40,122,-6011,-5916,-1,0,0
144.75,179.15,-134.41,119,-6005,-5910,-1,-1,0
144.74,179.15,-134.42,121,-6014,-5932,-1,0,-1
144.75,179.15,-134.42,126,-6010,-5913,-1,0,-1
144.75,179.14,-134.41,131,-6017,-5913,0,0,-1
144.75,179.14,-134.41,139,-6012,-5899,-1,0,-1
144.75,179.14,-134.42,139,-6016,-5904,-1,-1,0
144.75,179.14,-134.43,137,-6002,-5916,-1,-1,0
144.75,179.15,-134.44,138,-6008,-5918,-1,-1,0
144.75,179.15,-134.44,130,-6010,-5923,0,-1,-1
144.75,179.15,-134.44,133,-6002,-5924,0,-1,0
144.75,179.15,-134.44,126,-6008,-5927,0,0,-1
144.75,179.15,-134.44,127,-6011,-5918,0,-1,0
144.75,179.15,-134.43,122,-6006,-5910,0,-1,-1
144.75,179.15,-134.43,117,-6007,-5905,-1,-1,0
144.75,179.15,-134.44,127,-6010,-5918,0,0,-1
144.75,179.15,-134.43,130,-6013,-5916,0,-1,0
144.75,179.15,-134.43,131,-6015,-5911,0,0,0
144.75,179.15,-134.42,125,-6005,-5890,-1,-1,0
