Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
-154.36,49.05,-11.47,6276,-966,5219,5,-2,0
-154.42,49.10,-11.50,6412,-1182,5336,-1,-2,3
-154.58,49.10,-11.73,6335,-1231,5266,1,0,5
-154.71,49.07,-11.90,6306,-1159,5270,-2,-1,4
-154.77,49.07,-12.14,6187,-1177,5131,-2,-1,4
-154.84,49.07,-12.33,6127,-1174,5096,-2,-2,4
-154.87,49.10,-12.53,6173,-1243,5098,-2,-2,3
-154.90,49.14,-12.70,6228,-1272,5082,-1,-2,3
-154.98,49.12,-12.80,6193,-1239,5062,0,1,2
-155.06,49.08,-12.84,6165,-1189,5133,-1,-1,1
-155.04,49.10,-12.93,6250,-1244,5177,-2,-1,0
-155.06,49.08,-12.99,6276,-1322,5144,1,2,0
-155.13,49.01,-12.94,6256,-1297,5185,1,2,0
-155.17,48.97,-12.89,6191,-1250,5202,0,1,-1
-155.19,48.92,-12.82,6146,-1227,5173,1,2,-2
-155.20,48.87,-12.72,6129,-1195,5204,0,1,-2
-155.18,48.83,-12.65,6111,-1191,5207,0,1,-2
-155.19,48.78,-12.56,6122,-1161,5260,0,1,-2
-155.16,48.74,-12.49,6135,-1127,5296,-1,1,-2
-155.11,48.73,-12.44,6151,-1130,5302,-1,0,-2
-155.06,48.70,-12.40,6162,-1140,5298,-1,1,-2
-155.02,48.67,-12.36,6158,-1148,5294,-1,1,-2
-154.97,48.65,-12.33,6170,-1153,5280,-1,1,-2
-154.94,48.63,-12.30,6135,-1160,5224,-1,1,-2
-154.91,48.59,-12.27,6141,-1154,5240,-1,1,-1
-154.89,48.57,-12.25,6131,-1153,5243,-1,0,-1
-154.86,48.55,-12.24,6131,-1149,5235,-1,0,-1
-154.83,48.54,-12.22,6140,-1156,5250,-1,0,-1
-154.81,48.53,-12.21,6151,-1159,5259,-1,0,-1
-154.82,48.51,-12.20,6148,-1163,5260,0,0,-1
-154.84,48.49,-12.18,6150,-1150,5281,0,0,0
-154.87,48.46,-12.19,6127,-1147,5274,0,0,0
-154.91,48.45,-12.18,6114,-1153,5265,0,0,0
-154.95,48.43,-12.18,6103,-1139,5287,0,0,0
-154.96,48.43,-12.18,6103,-1142,5305,0,-1,0
-154.97,48.43,-12.18,6111,-1154,5280,0,0,0
-154.99,48.43,-12.17,6111,-1149,5279,0,0,0
-155.01,48.43,-12.18,6118,-1135,5292,0,-1,0
-155.03,48.42,-12.19,6120,-1118,5312,-1,-1,0
-155.08,48.41,-12.21,6122,-1133,5303,0,0,1
-155.17,48.39,-12.25,6130,-1135,5319,1,0,2
-155.34,48.33,-12.25,6101,-1146,5308,3,1,3
-155.53,48.28,-12.24,6047,-1102,5315,3,0,3
-155.66,48.27,-12.22,6031,-1049,5335,2,-1,1
-155.69,48.30,-12.19,6073,-1048,5344,0,-2,0
-155.68,48.33,-12.20,6123,-1096,5324,-1,-1,0
-155.65,48.35,-12.20,6155,-1099,5311,-1,-1,-1
-155.60,48.35,-12.21,6159,-1118,5307,-2,0,-1
