Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
-157.69,13.29,-70.78,1915,-7659,2660,0,0,0
-157.70,13.28,-70.78,1912,-7661,2665,0,0,0
-157.69,13.28,-70.77,1915,-7658,2671,0,0,0
-157.70,13.28,-70.78,1919,-7658,2668,0,-1,0
-157.70,13.28,-70.78,1920,-7651,2663,0,-1,0
-157.70,13.28,-70.78,1912,-7648,2661,-1,0,0
-157.71,13.27,-70.78,1909,-7653,2661,-1,-1,0
-157.71,13.27,-70.78,1910,-7665,2659,-1,-1,-1
-157.71,13.27,-70.78,1913,-7669,2667,0,-1,0
-157.71,13.27,-70.78,1917,-7661,2670,0,0,0
-157.71,13.27,-70.78,1917,-7655,2681,-1,-1,0
-157.72,13.26,-70.78,1911,-7657,2682,-1,-1,0
-157.73,13.26,-70.79,1909,-7672,2671,-1,-1,0
-157.73,13.26,-70.80,1905,-7679,2653,0,-1,0
-157.73,13.25,-70.79,1903,-7664,2658,0,0,0
-157.73,13.25,-70.78,1901,-7663,2658,0,0,-1
-157.73,13.25,-70.77,1905,-7666,2682,-1,0,-1
-157.72,13.26,-70.78,1908,-7660,2670,-1,-1,-1
-157.73,13.25,-70.78,1909,-7659,2669,-1,-1,0
-157.74,13.25,-70.79,1908,-7661,2653,0,-1,0
-157.74,13.25,-70.78,1912,-7652,2668,-1,-1,0
-157.75,13.24,-70.78,1906,-7643,2667,-1,-1,0
-157.75,13.24,-70.79,1903,-7648,2662,-1,-1,0
-157.76,13.23,-70.79,1904,-7665,2654,-1,-1,0
-157.76,13.23,-70.80,1901,-7662,2651,0,-1,0
-157.77,13.22,-70.80,1905,-7666,2655,0,-1,0
-157.77,13.22,-70.80,1906,-7659,2659,0,0,0
-157.78,13.22,-70.80,1902,-7657,2653,0,-1,0
-157.78,13.22,-70.79,1907,-7666,2659,0,-1,0
-157.78,13.22,-70.79,1901,-7673,2663,0,0,0
-157.78,13.21,-70.79,1899,-7666,2671,0,-1,0
-157.78,13.21,-70.79,1903,-7658,2670,-1,-1,0
-157.78,13.21,-70.79,1903,-7655,2669,-1,-1,0
-157.79,13.21,-70.80,1912,-7658,2665,-1,-1,0
-157.79,13.21,-70.80,1907,-7661,2671,-1,-1,0
-157.80,13.21,-70.81,1910,-7667,2666,-1,-1,0
-157.81,13.21,-70.82,1907,-7666,2664,-1,-1,0
-157.82,13.20,-70.82,1907,-7665,2667,0,-1,0
-157.82,13.20,-70.82,1913,-7665,2665,-1,-1,0
-157.82,13.20,-70.82,1911,-7665,2655,0,0,0
-157.82,13.19,-70.81,1902,-7666,2669,-1,0,0
-157.82,13.19,-70.81,1902,-7672,2666,0,0,0
-157.82,13.19,-70.81,1898,-7666,2665,-1,-1,0
-157.83,13.18,-70.82,1891,-7667,2657,0,-1,0
-157.83,13.18,-70.82,1897,-7667,2660,0,-1,0
-157.83,13.18,-70.81,1902,-7664,2667,0,0,0
-157.83,13.18,-70.81,1905,-7653,2666,-1,0,0
-157.84,13.17,-70.81,1897,-7651,2674,-1,-1,0
-157.84,13.17,-70.81,1903,-7656,2666,-1,-1,0
-157.84,13.17,-70.81,1909,-7661,2663,-1,-1,0
-157.84,13.17,-70.81,1904,-7661,2662,0,0,0
-157.85,13.17,-70.81,1896,-7655,2674,-1,-1,0
-157.85,13.16,-70.82,1891,-7664,2671,-1,-1,0
-157.86,13.16,-70.82,1894,-7678,2662,-1,-1,-1
-157.86,13.16,-70.82,1898,-7681,2663,0,0,-1
-157.86,13.16,-70.82,1903,-7667,2656,0,0,0
-157.86,13.15,-70.81,1894,-7648,2666,0,-1,0
-157.87,13.15,-70.81,1897,-7651,2669,-1,-1,0
-157.88,13.14,-70.82,1888,-7668,2669,-1,-1,0
-157.89,13.13,-70.82,1890,-7681,2665,-1,0,0
-157.89,13.13,-70.83,1889,-7673,2652,0,0,0
-157.89,13.13,-70.82,1887,-7668,2649,0,-1,0
-157.89,13.13,-70.82,1891,-7661,2656,0,0,-1
-157.89,13.13,-70.82,1892,-7658,2656,0,0,-1
-157.89,13.13,-70.82,1904,-7664,2669,-1,0,0
-157.89,13.13,-70.82,1902,-7666,2671,-1,0,0
-157.90,13.12,-70.82,1895,-7664,2670,-1,-1,0
-157.90,13.12,-70.83,1889,-7666,2663,-1,-1,0
-157.91,13.12,-70.83,1884,-7674,2664,-1,-1,0
-157.91,13.12,-70.83,1888,-7662,2668,0,-1,0
-157.91,13.11,-70.83,1887,-7664,2664,0,-1,0
-157.92,13.10,-70.82,1885,-7668,2670,-1,-1,0
-157.93,13.09,-70.83,1877,-7665,2663,-1,-1,0
-157.94,13.09,-70.83,1881,-7667,2660,-1,-1,0
-157.94,13.09,-70.83,1888,-7666,2658,0,0,0
-157.94,13.09,-70.83,1886,-7663,2667,0,-1,0
-157.93,13.10,-70.83,1892,-7665,2664,0,-1,0
-157.93,13.09,-70.82,1891,-7663,2669,-1,-1,0
-157.94,13.09,-70.82,1886,-7666,2667,0,-1,0
-157.94,13.09,-70.82,1895,-7662,2665,0,-1,0
-157.94,13.09,-70.82,1892,-7663,2665,-1,-1,0
-157.95,13.08,-70.83,1883,-7658,2655,-1,-1,0
-157.96,13.07,-70.83,1877,-7674,2654,-1,-1,0
-157.97,13.07,-70.83,1882,-7683,2643,0,0,0
-157.97,13.07,-70.83,1885,-7682,2655,0,-1,0
-157.97,13.06,-70.82,1879,-7669,2658,0,-1,0
-157.97,13.06,-70.81,1881,-7661,2672,-1,-1,0
-157.98,13.05,-70.81,1878,-7651,2670,0,0,0
-157.98,13.05,-70.82,1882,-7667,2662,0,0,0
-157.97,13.05,-70.81,1870,-7664,2664,0,0,-1
-157.97,13.05,-70.81,1876,-7663,2670,0,0,0
-157.97,13.05,-70.80,1869,-7662,2693,-1,-1,-1
-157.97,13.06,-70.80,1881,-7662,2683,0,-1,-1
-157.97,13.06,-70.80,1881,-7661,2676,0,-1,0
-157.97,13.06,-70.80,1887,-7669,2677,-1,0,0
-157.97,13.06,-70.80,1871,-7664,2657,-1,-1,-1
-157.97,13.06,-70.80,1876,-7669,2664,0,-1,-1
-157.96,13.07,-70.79,1880,-7662,2669,0,0,-1
-157.95,13.07,-70.79,1876,-7649,2672,-1,-1,-1
-157.95,13.08,-70.79,1887,-7659,2672,-1,0,-1
-157.95,13.08,-70.79,1888,-7672,2671,-1,-1,0
-157.95,13.08,-70.79,1884,-7680,2668,0,0,-1
-157.95,13.08,-70.79,1882,-7673,2672,0,0,-1
-157.94,13.08,-70.79,1888,-7666,2663,0,0,-1
-157.93,13.08,-70.78,1882,-7658,2669,0,0,-1
-157.93,13.09,-70.77,1884,-7656,2680,0,0,-1
-157.92,13.09,-70.77,1875,-7655,2684,0,0,-1
-157.92,13.09,-70.77,1878,-7660,2689,-1,-1,-1
-157.92,13.09,-70.78,1877,-7659,2671,-1,0,-1
-157.91,13.10,-70.78,1884,-7666,2670,-1,0,-1
-157.91,13.11,-70.79,1887,-7673,2669,-1,0,-1
-157.91,13.11,-70.79,1885,-7674,2667,-1,-1,-1
-157.91,13.11,-70.79,1880,-7668,2667,0,0,-1
-157.90,13.11,-70.79,1879,-7668,2667,-1,0,-1
-157.91,13.11,-70.80,1872,-7667,2659,0,0,-1
-157.90,13.11,-70.80,1884,-7674,2663,-1,0,-1
-157.89,13.12,-70.80,1882,-7674,2661,0,0,-1
-157.89,13.12,-70.80,1870,-7666,2654,-1,0,-1
-157.89,13.12,-70.80,1882,-7666,2670,-1,0,-1
-157.88,13.13,-70.80,1891,-7666,2672,-1,0,-1
-157.88,13.13,-70.80,1891,-7666,2675,-1,0,-1
-157.88,13.13,-70.81,1889,-7667,2676,-1,0,-1
-157.87,13.14,-70.80,1892,-7671,2684,-1,-1,-1
-157.87,13.14,-70.81,1892,-7671,2671,-1,-1,-1
-157.87,13.14,-70.81,1894,-7671,2669,-1,-1,-1
-157.87,13.14,-70.81,1890,-7672,2663,0,0,-1
-157.87,13.14,-70.81,1887,-7672,2663,-1,0,-1
-157.87,13.14,-70.81,1885,-7669,2667,0,0,-1
-157.86,13.15,-70.81,1888,-7671,2670,0,0,-1
-157.86,13.15,-70.81,1882,-7671,2671,0,0,-1
-157.85,13.15,-70.80,1888,-7673,2668,-1,0,-1
-157.85,13.16,-70.81,1891,-7674,2661,0,-1,-1
-157.85,13.16,-70.81,1897,-7674,2660,-1,0,-1
-157.85,13.16,-70.81,1898,-7661,2648,0,0,-1
-157.84,13.16,-70.81,1897,-7665,2658,-1,0,-1
-157.84,13.16,-70.81,1898,-7669,2663,0,-1,-1
-157.84,13.16,-70.81,1898,-7669,2659,0,0,-1
-157.84,13.17,-70.81,1896,-7666,2667,-1,0,0
-157.84,13.16,-70.81,1890,-7666,2666,0,-1,0
-157.84,13.16,-70.81,1891,-7666,2662,0,-1,-1
-157.84,13.16,-70.81,1882,-7680,2657,0,0,-1
-157.83,13.17,-70.81,1889,-7677,2652,0,-1,-1
-157.83,13.18,-70.80,1891,-7670,2651,0,0,-1
-157.82,13.18,-70.79,1895,-7658,2668,0,-1,0
-157.82,13.18,-70.79,1899,-7662,2660,0,0,-1
-157.82,13.18,-70.79,1898,-7668,2658,-1,0,-1
-157.82,13.18,-70.80,1892,-7672,2663,0,0,-1
-157.82,13.18,-70.79,1889,-7665,2669,-1,0,-1
-157.81,13.18,-70.79,1888,-7668,2667,0,0,-1
-157.81,13.19,-70.79,1897,-7668,2669,0,0,-1
-157.80,13.20,-70.79,1900,-7662,2671,0,-1,-1
-157.79,13.20,-70.78,1900,-7655,2687,-1,0,-1
-157.79,13.20,-70.78,1901,-7658,2671,-1,0,-1
-157.78,13.21,-70.79,1900,-7661,2669,-1,0,-1
-157.78,13.21,-70.79,1902,-7660,2665,-1,0,-1
-157.78,13.21,-70.80,1897,-7654,2663,-1,-1,-1
-157.79,13.21,-70.81,1892,-7667,2656,0,0,-1
-157.78,13.21,-70.80,1893,-7670,2661,0,0,-1
-157.77,13.22,-70.80,1896,-7664,2667,-1,0,-1
-157.77,13.22,-70.80,1895,-7665,2666,-1,0,-1
-157.76,13.22,-70.79,1896,-7668,2661,0,0,-1
-157.76,13.22,-70.79,1894,-7666,2661,0,0,-1
-157.75,13.23,-70.79,1892,-7661,2670,0,0,-1
-157.75,13.23,-70.78,1899,-7666,2677,0,0,-1
-157.74,13.23,-70.78,1895,-7663,2682,-1,0,-1
-157.74,13.23,-70.78,1896,-7666,2679,-1,0,-1
-157.73,13.24,-70.78,1903,-7664,2674,-1,0,-1
-157.73,13.24,-70.79,1904,-7661,2671,-1,0,-1
-157.73,13.24,-70.79,1907,-7662,2668,-1,0,-1
-157.72,13.25,-70.79,1896,-7663,2671,-1,0,-1
-157.72,13.25,-70.79,1895,-7662,2669,-1,0,-1
-157.72,13.25,-70.79,1899,-7666,2664,-1,0,-1
-157.72,13.25,-70.79,1897,-7666,2665,0,0,-1
-157.71,13.26,-70.78,1898,-7662,2665,0,0,-1
-157.71,13.26,-70.78,1896,-7661,2666,-1,0,-1
-157.70,13.27,-70.78,1900,-7669,2663,0,0,-1
-157.70,13.26,-70.78,1896,-7660,2670,-1,0,-1
-157.69,13.26,-70.78,1890,-7652,2679,-1,-1,-1
-157.70,13.27,-70.79,1904,-7666,2664,-1,0,-1
-157.69,13.27,-70.79,1897,-7675,2662,0,0,-1
-157.69,13.27,-70.79,1893,-7668,2658,0,0,-1
-157.68,13.27,-70.78,1900,-7651,2664,-1,0,-1
-157.68,13.27,-70.79,1905,-7661,2664,-1,-1,-1
-157.67,13.28,-70.79,1919,-7654,2670,0,0,-1
-157.67,13.28,-70.79,1907,-7660,2667,-1,0,-1
-157.67,13.28,-70.78,1907,-7656,2683,-1,0,-1
-157.67,13.28,-70.78,1900,-7658,2675,-1,0,-1
-157.67,13.28,-70.79,1902,-7667,2667,-1,0,-1
-157.66,13.29,-70.79,1914,-7676,2652,0,0,-1
-157.65,13.30,-70.79,1922,-7671,2654,0,0,-1
-157.64,13.30,-70.78,1923,-7649,2672,0,0,-1
-157.64,13.30,-70.78,1922,-7642,2675,-1,0,-1
-157.65,13.30,-70.79,1915,-7650,2664,-1,0,-1
-157.64,13.31,-70.80,1923,-7667,2652,-1,0,-1
-157.64,13.31,-70.80,1918,-7659,2646,0,0,-1
-157.63,13.31,-70.80,1905,-7662,2648,0,0,-1
-157.63,13.31,-70.79,1898,-7659,2665,0,0,-1
-157.62,13.32,-70.79,1904,-7661,2684,0,0,-1
-157.61,13.32,-70.78,1914,-7654,2683,-1,0,-1
-157.61,13.33,-70.79,1915,-7655,2677,-1,0,-1
-157.61,13.33,-70.79,1914,-7659,2673,-1,0,-1
-157.60,13.33,-70.78,1912,-7655,2678,-1,0,-1
-157.59,13.33,-70.78,1911,-7648,2683,-1,0,-1
-157.60,13.34,-70.79,1913,-7657,2682,-1,0,-1
-157.59,13.34,-70.79,1921,-7664,2678,-1,0,-1
-157.59,13.34,-70.79,1910,-7664,2681,-1,0,-1
-157.59,13.34,-70.78,1911,-7665,2677,-1,0,-1
-157.58,13.34,-70.79,1914,-7668,2668,-1,0,-1
-157.57,13.35,-70.79,1913,-7673,2652,0,0,-1
-157.57,13.35,-70.79,1914,-7672,2658,0,0,-1
-157.57,13.35,-70.78,1916,-7667,2664,0,0,-1
-157.56,13.36,-70.77,1920,-7660,2680,-1,0,-1
-157.56,13.36,-70.77,1920,-7656,2675,0,0,-1
-157.56,13.36,-70.77,1925,-7657,2681,-1,0,-1
-157.56,13.36,-70.79,1929,-7663,2664,-1,-1,-1
-157.56,13.36,-70.79,1920,-7653,2668,-1,-1,0
