Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
122.15,179.90,-132.73,14,-6186,-5723,0,-1,0
122.15,179.90,-132.72,18,-6195,-5716,0,0,0
122.15,179.90,-132.72,21,-6197,-5713,0,-1,0
122.15,179.90,-132.72,10,-6194,-5710,-1,0,0
122.15,179.90,-132.72,17,-6201,-5716,-1,0,-1
122.15,179.90,-132.72,18,-6199,-5721,-1,0,0
122.15,179.90,-132.71,18,-6198,-5710,0,-1,-1
122.15,179.90,-132.71,14,-6193,-5711,0,-1,0
122.15,179.90,-132.71,18,-6190,-5708,0,-1,0
122.15,179.90,-132.71,11,-6191,-5711,-1,-1,0
122.15,179.90,-132.72,8,-6187,-5721,-1,-1,-1
122.15,179.90,-132.72,16,-6192,-5730,0,0,0
122.15,179.90,-132.71,18,-6192,-5733,0,0,0
122.16,179.90,-132.71,24,-6185,-5719,0,-1,0
122.16,179.90,-132.71,12,-6183,-5714,-1,-1,0
122.15,179.90,-132.71,5,-6185,-5713,0,0,0
122.15,179.90,-132.71,10,-6188,-5713,-1,0,-1
122.15,179.90,-132.71,15,-6186,-5718,0,-1,-1
122.15,179.90,-132.71,17,-6184,-5724,0,0,0
122.15,179.90,-132.70,17,-6182,-5719,0,-1,0
122.15,179.90,-132.70,19,-6185,-5703,-1,-1,0
122.15,179.89,-132.71,16,-6195,-5708,-1,0,-1
122.15,179.90,-132.71,19,-6200,-5714,-1,-1,-1
122.15,179.90,-132.71,17,-6200,-5718,0,0,0
122.15,179.89,-132.71,20,-6198,-5720,0,-1,0
122.15,179.89,-132.71,16,-6195,-5724,0,-1,-1
122.15,179.89,-132.71,15,-6189,-5722,-1,-1,0
122.15,179.89,-132.71,19,-6188,-5723,-1,-1,-1
122.15,179.89,-132.72,21,-6181,-5726,-1,-1,0
122.15,179.89,-132.72,20,-6197,-5727,0,-1,0
122.15,179.89,-132.72,17,-6188,-5724,-1,0,0
122.15,179.89,-132.72,10,-6189,-5720,-1,0,-1
122.15,179.89,-132.72,11,-6185,-5712,-1,0,-1
122.15,179.89,-132.72,10,-6183,-5717,-1,-1,0
122.15,179.89,-132.72,13,-6185,-5723,0,-1,0
122.15,179.89,-132.72,9,-6191,-5720,0,-1,0
122.15,179.89,-132.71,5,-6192,-5719,0,-1,0
122.15,179.90,-132.71,9,-6196,-5712,0,0,0
122.15,179.90,-132.70,8,-6200,-5714,0,-1,-1
122.15,179.90,-132.70,6,-6194,-5714,-1,-1,0
122.15,179.90,-132.70,14,-6195,-5712,-1,-1,0
122.15,179.90,-132.71,14,-6191,-5714,-1,0,-1
122.15,179.90,-132.72,16,-6190,-5719,-1,0,-1
122.15,179.89,-132.72,15,-6195,-5719,0,0,0
122.15,179.89,-132.72,17,-6193,-5722,0,-1,-1
122.15,179.89,-132.72,16,-6190,-5717,-1,-1,0
122.15,179.89,-132.72,12,-6198,-5723,-1,0,0
122.15,179.89,-132.72,9,-6193,-5717,0,-1,0
122.15,179.89,-132.72,19,-6191,-5713,0,0,0
122.14,179.88,-132.71,23,-6195,-5725,-1,0,0
122.15,179.89,-132.72,22,-6195,-5723,-1,-1,0
122.15,179.89,-132.72,24,-6190,-5723,-1,-1,0
122.15,179.89,-132.72,18,-6192,-5721,0,-1,0
122.15,179.89,-132.72,21,-6186,-5710,0,-1,-1
122.15,179.89,-132.72,17,-6188,-5712,0,-1,-1
122.15,179.89,-132.72,10,-6192,-5710,0,-1,0
122.15,179.89,-132.71,14,-6193,-5710,-1,-1,0
122.15,179.89,-132.71,13,-6191,-5711,-1,0,-1
122.15,179.89,-132.71,14,-6188,-5709,0,0,0
122.15,179.89,-132.71,15,-6191,-5706,-1,-1,0
122.15,179.89,-132.71,21,-6187,-5707,0,-1,0
122.15,179.89,-132.71,28,-6185,-5712,-1,-1,0
122.15,179.89,-132.71,22,-6191,-5711,-1,0,0
122.15,179.89,-132.71,19,-6186,-5712,-1,0,-1
122.15,179.88,-132.71,20,-6191,-5719,-1,0,-1
122.14,179.88,-132.71,21,-6198,-5718,-1,-1,-1
122.14,179.88,-132.71,19,-6183,-5717,-1,-1,0
122.14,179.88,-132.71,21,-6190,-5716,0,0,0
122.14,179.88,-132.72,17,-6189,-5713,-1,0,0
122.14,179.88,-132.71,18,-6191,-5718,-1,-1,0
122.14,179.88,-132.71,17,-6200,-5718,-1,-1,0
122.14,179.88,-132.71,19,-6197,-5722,-1,-1,0
122.14,179.88,-132.72,14,-6194,-5727,-1,-1,0
122.14,179.88,-132.72,15,-6196,-5719,-1,0,0
122.14,179.88,-132.71,15,-6199,-5721,0,0,-1
122.14,179.88,-132.71,17,-6192,-5730,0,0,-1
122.13,179.88,-132.72,22,-6192,-5725,0,0,0
122.13,179.87,-132.72,22,-6189,-5725,-1,0,0
122.13,179.87,-132.72,18,-6183,-5718,0,0,0
122.13,179.87,-132.72,18,-6184,-5707,0,0,0
122.13,179.87,-132.72,16,-6185,-5703,-1,0,0
122.14,179.87,-132.72,23,-6190,-5711,-1,0,0
122.13,179.87,-132.72,31,-6192,-5717,-1,0,0
122.13,179.87,-132.72,25,-6186,-5717,0,0,-1
122.12,179.86,-132.72,26,-6179,-5713,0,-1,0
122.13,179.87,-132.71,28,-6185,-5715,0,-1,0
122.13,179.87,-132.71,25,-6186,-5702,-1,0,0
122.13,179.86,-132.71,32,-6188,-5711,-1,0,-1
122.12,179.86,-132.71,25,-6195,-5718,-1,-1,-1
122.12,179.86,-132.72,19,-6190,-5720,-1,0,-1
122.12,179.86,-132.73,18,-6189,-5724,-1,0,0
122.12,179.86,-132.73,22,-6191,-5725,-1,0,-1
122.12,179.85,-132.73,21,-6184,-5726,-1,0,-1
122.12,179.85,-132.73,16,-6184,-5723,0,0,0
122.12,179.85,-132.73,17,-6189,-5711,-1,0,0
122.12,179.85,-132.73,14,-6195,-5714,-1,0,0
122.12,179.85,-132.72,19,-6196,-5712,0,0,-1
122.12,179.85,-132.72,25,-6192,-5720,0,0,0
122.12,179.84,-132.72,27,-6201,-5715,-1,0,-1
122.12,179.84,-132.72,24,-6189,-5711,-1,-1,-1
122.12,179.85,-132.73,18,-6188,-5717,-1,-1,0
122.12,179.85,-132.73,17,-6192,-5711,-1,-1,-1
122.12,179.85,-132.73,20,-6191,-5711,0,-1,0
122.12,179.85,-132.73,15,-6190,-5716,-1,-1,0
122.12,179.85,-132.73,17,-6189,-5726,-1,-1,-1
122.12,179.85,-132.73,15,-6192,-5725,-1,-1,0
122.12,179.85,-132.73,24,-6193,-5719,0,-1,0
122.12,179.85,-132.73,22,-6184,-5722,-1,-1,0
122.12,179.85,-132.73,27,-6184,-5722,-1,0,0
122.11,179.86,-132.73,24,-6181,-5721,0,-1,0
122.11,179.86,-132.73,19,-6189,-5723,0,0,0
122.11,179.86,-132.73,26,-6190,-5726,0,-1,0
122.12,179.85,-132.72,22,-6191,-5714,0,-1,0
122.12,179.86,-132.71,25,-6183,-5707,0,-1,0
122.11,179.86,-132.72,17,-6186,-5714,-1,-1,0
122.11,179.86,-132.72,23,-6193,-5716,-1,-1,0
122.11,179.86,-132.72,21,-6200,-5715,-1,-1,0
122.11,179.86,-132.72,19,-6196,-5722,0,-1,0
122.11,179.86,-132.72,21,-6191,-5714,0,-1,-1
122.11,179.86,-132.72,31,-6187,-5710,-1,-1,0
122.11,179.86,-132.72,31,-6189,-5719,-1,-1,0
122.12,179.87,-132.73,22,-6187,-5720,0,-1,0
122.11,179.86,-132.72,21,-6191,-5722,0,0,-1
122.12,179.87,-132.72,21,-6194,-5738,0,-1,-1
122.13,179.86,-132.72,24,-6191,-5731,0,-1,-1
122.13,179.87,-132.72,24,-6186,-5722,-1,-1,0
122.11,179.86,-132.73,14,-6183,-5723,-1,-1,0
122.11,179.87,-132.73,15,-6187,-5722,-1,-1,0
122.11,179.87,-132.73,17,-6188,-5732,0,-1,0
122.11,179.87,-132.73,18,-6183,-5722,0,-1,-1
122.11,179.87,-132.73,21,-6175,-5715,-1,-1,0
122.11,179.87,-132.73,21,-6180,-5707,-1,0,0
122.11,179.87,-132.74,16,-6188,-5717,-1,0,0
122.11,179.87,-132.74,17,-6192,-5722,0,-1,0
122.11,179.87,-132.73,15,-6195,-5716,0,-1,0
122.12,179.87,-132.73,17,-6194,-5715,0,-1,-1
122.12,179.87,-132.73,15,-6192,-5710,-1,-1,0
122.12,179.88,-132.74,13,-6194,-5717,-1,-1,-1
122.12,179.87,-132.74,12,-6188,-5721,-1,0,0
122.12,179.87,-132.74,13,-6187,-5716,-1,0,-1
122.12,179.87,-132.74,10,-6184,-5711,0,0,-1
122.12,179.87,-132.74,12,-6174,-5710,0,-1,0
122.11,179.88,-132.75,10,-6181,-5723,-1,-1,0
122.11,179.88,-132.75,12,-6181,-5719,0,-1,-1
122.12,179.87,-132.74,18,-6182,-5719,0,-1,0
122.12,179.88,-132.74,19,-6180,-5718,0,-1,0
122.12,179.88,-132.74,22,-6186,-5721,0,-1,0
122.12,179.88,-132.74,30,-6181,-5715,-1,-1,0
122.12,179.88,-132.74,27,-6181,-5714,-1,-1,0
122.12,179.88,-132.74,24,-6188,-5714,-1,-1,0
122.12,179.88,-132.74,23,-6188,-5714,0,-1,-1
122.12,179.88,-132.74,18,-6189,-5720,0,-1,0
122.12,179.88,-132.74,12,-6189,-5732,0,-1,0
122.12,179.88,-132.74,18,-6186,-5726,-1,-1,0
122.12,179.88,-132.74,17,-6180,-5723,-1,-1,0
122.12,179.88,-132.75,21,-6178,-5724,-1,-1,-1
122.11,179.88,-132.75,22,-6182,-5720,0,-1,-1
122.11,179.88,-132.75,23,-6188,-5721,-1,-1,0
122.12,179.88,-132.74,18,-6187,-5715,-1,-1,0
122.12,179.89,-132.74,16,-6189,-5715,-1,0,0
122.12,179.89,-132.74,11,-6189,-5714,-1,0,0
122.11,179.88,-132.75,17,-6192,-5714,-1,0,0
122.11,179.88,-132.75,21,-6194,-5718,-1,-1,0
122.11,179.88,-132.74,25,-6199,-5714,-1,-1,0
122.11,179.88,-132.74,19,-6196,-5711,-1,-1,0
122.12,179.88,-132.74,16,-6196,-5698,-1,-1,0
122.11,179.89,-132.75,9,-6191,-5712,-1,-1,-1
122.11,179.89,-132.75,15,-6189,-5723,0,-1,0
122.11,179.89,-132.75,15,-6190,-5725,0,-1,0
122.11,179.89,-132.75,15,-6184,-5717,-1,-1,0
122.11,179.89,-132.75,15,-6179,-5712,-1,-1,0
122.11,179.89,-132.75,13,-6182,-5709,-1,0,0
122.11,179.89,-132.75,13,-6182,-5712,-1,-1,0
122.11,179.89,-132.75,18,-6188,-5715,-1,-1,0
122.11,179.89,-132.75,20,-6185,-5728,-1,-1,0
122.11,179.89,-132.75,17,-6180,-5725,0,0,0
122.11,179.89,-132.75,15,-6171,-5718,0,-1,0
122.11,179.89,-132.75,15,-6184,-5713,0,0,0
122.11,179.89,-132.75,17,-6188,-5714,-1,-1,0
122.11,179.89,-132.75,23,-6186,-5719,-1,-1,0
122.11,179.89,-132.75,20,-6183,-5724,0,-1,0
122.11,179.89,-132.75,15,-6184,-5721,-1,-1,0
