Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
-24.31,3.10,14.28,431,2012,7892,0,0,-1
-24.31,3.09,14.29,430,2017,7895,-1,0,0
-24.31,3.09,14.29,439,2017,7891,-1,0,0
-24.31,3.09,14.28,438,2004,7905,-1,-1,0
-24.31,3.10,14.28,445,2003,7897,0,-1,-1
-24.32,3.10,14.28,448,2009,7891,0,-1,0
-24.32,3.10,14.28,447,2010,7886,0,-1,-1
-24.32,3.10,14.28,447,2002,7885,0,-1,0
-24.32,3.10,14.28,447,1999,7887,0,-1,0
-24.32,3.10,14.28,448,2001,7888,0,0,0
-24.32,3.10,14.28,453,2003,7889,0,0,-1
-24.32,3.10,14.28,450,2001,7889,0,0,0
-24.32,3.10,14.28,450,2008,7896,-1,0,-1
-24.32,3.10,14.27,448,2003,7901,-1,0,0
-24.32,3.10,14.27,445,1997,7903,-1,0,-1
-24.32,3.10,14.27,440,1995,7909,0,-1,0
-24.31,3.10,14.27,449,2000,7906,0,0,-1
-24.32,3.10,14.28,446,2008,7898,-1,0,0
-24.32,3.10,14.27,445,2006,7898,-1,-1,-1
-24.32,3.10,14.27,449,2000,7899,-1,0,0
-24.32,3.10,14.27,447,1992,7896,0,-1,-1
-24.32,3.10,14.27,443,1997,7897,0,0,-1
-24.31,3.10,14.27,442,2003,7897,0,-1,-1
-24.32,3.10,14.27,447,2007,7901,-1,-1,0
-24.32,3.10,14.27,447,2003,7888,-1,-1,0
-24.32,3.11,14.27,454,1994,7890,0,0,-1
-24.32,3.11,14.27,454,1992,7892,0,0,-1
-24.32,3.11,14.27,446,1994,7886,0,0,-1
-24.32,3.10,14.27,444,1998,7885,-1,0,0
-24.32,3.10,14.26,442,2000,7886,0,0,0
-24.32,3.10,14.27,446,2003,7879,-1,-1,-1
-24.32,3.10,14.26,446,2003,7883,-1,0,0
-24.32,3.10,14.26,444,2005,7890,-1,0,0
-24.32,3.10,14.26,443,2011,7898,-1,0,-1
-24.32,3.10,14.26,439,1999,7899,0,0,-1
-24.32,3.10,14.26,448,2005,7891,0,-1,-1
-24.32,3.10,14.27,443,2013,7896,-1,-1,0
-24.32,3.10,14.27,441,2012,7884,-1,0,0
-24.32,3.11,14.26,449,2001,7884,-1,-1,0
-24.32,3.11,14.26,450,1999,7887,-1,0,0
-24.32,3.11,14.26,445,1996,7899,0,-1,0
-24.32,3.11,14.25,443,1996,7901,-1,0,0
-24.32,3.11,14.25,445,1993,7902,0,-1,0
-24.32,3.11,14.26,449,1996,7894,0,-1,0
-24.32,3.12,14.26,454,2001,7888,0,-1,-1
-24.32,3.11,14.27,451,2017,7886,0,0,-1
-24.32,3.11,14.27,443,2024,7890,-1,0,0
-24.32,3.10,14.27,442,2017,7903,-1,0,0
-24.33,3.11,14.25,439,1997,7907,-1,0,0
-24.33,3.11,14.25,448,1985,7900,0,-1,-1
-24.32,3.11,14.26,449,2000,7893,0,0,-1
-24.32,3.10,14.27,446,2012,7891,0,0,0
-24.32,3.10,14.27,436,2015,7895,-1,-1,0
-24.33,3.10,14.26,443,2004,7879,-1,-1,0
-24.32,3.11,14.26,443,2002,7891,0,-1,-1
-24.32,3.11,14.27,443,2005,7891,0,0,-1
-24.32,3.11,14.27,445,2015,7894,0,0,-1
-24.32,3.10,14.27,441,2020,7897,-1,0,0
