Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
162.65,-176.79,-112.23,-464,-7783,-3189,0,-1,0
162.66,-176.80,-112.23,-466,-7785,-3184,0,-1,0
162.65,-176.79,-112.23,-471,-7784,-3194,0,-1,-1
162.66,-176.80,-112.23,-473,-7782,-3202,0,-1,-1
162.66,-176.80,-112.23,-472,-7781,-3193,0,0,-1
162.66,-176.80,-112.23,-467,-7787,-3180,0,-1,-1
162.67,-176.80,-112.22,-463,-7795,-3182,0,-1,-1
162.67,-176.80,-112.22,-457,-7795,-3176,0,-1,-1
162.67,-176.80,-112.22,-460,-7794,-3179,0,0,-1
162.67,-176.80,-112.22,-470,-7795,-3193,-1,-1,0
162.67,-176.80,-112.22,-475,-7790,-3196,0,-1,-1
162.67,-176.80,-112.22,-468,-7789,-3188,0,0,-1
162.68,-176.81,-112.21,-467,-7798,-3193,0,-1,-1
162.69,-176.81,-112.21,-473,-7797,-3191,0,0,-1
162.69,-176.81,-112.21,-470,-7797,-3185,-1,-1,0
162.69,-176.81,-112.21,-473,-7793,-3181,-1,0,0
162.68,-176.81,-112.21,-470,-7794,-3172,-1,0,-1
162.68,-176.81,-112.21,-478,-7789,-3178,-1,0,-1
162.68,-176.81,-112.21,-477,-7790,-3188,0,0,-1
162.68,-176.81,-112.21,-476,-7794,-3192,0,0,-1
162.68,-176.81,-112.21,-477,-7788,-3185,0,-1,0
162.68,-176.81,-112.21,-473,-7786,-3184,0,0,-1
162.68,-176.81,-112.21,-462,-7783,-3176,0,0,-1
162.69,-176.82,-112.20,-461,-7784,-3173,0,0,-1
162.69,-176.82,-112.20,-463,-7779,-3183,0,0,-1
162.69,-176.82,-112.21,-464,-7777,-3183,-1,0,0
162.68,-176.82,-112.21,-462,-7781,-3186,-1,0,0
162.68,-176.82,-112.21,-469,-7792,-3194,-1,0,0
162.68,-176.82,-112.22,-464,-7792,-3198,0,0,-1
162.68,-176.82,-112.22,-467,-7792,-3199,0,0,-1
162.68,-176.83,-112.22,-464,-7788,-3186,0,0,-1
162.68,-176.83,-112.22,-470,-7789,-3177,-1,0,0
162.68,-176.83,-112.22,-467,-7794,-3179,-1,0,-1
162.68,-176.83,-112.22,-472,-7802,-3178,-1,0,-1
162.68,-176.83,-112.22,-466,-7799,-3185,0,0,-1
162.69,-176.83,-112.22,-468,-7795,-3187,0,-1,-1
162.70,-176.84,-112.21,-463,-7783,-3176,0,0,-1
162.69,-176.83,-112.22,-463,-7781,-3184,-1,0,-1
162.69,-176.84,-112.22,-461,-7788,-3191,-1,0,-1
162.69,-176.84,-112.22,-456,-7790,-3188,-1,0,0
162.69,-176.84,-112.23,-458,-7785,-3190,-1,0,-1
162.69,-176.85,-112.23,-461,-7788,-3194,0,0,-1
162.69,-176.85,-112.23,-464,-7784,-3185,0,0,-1
162.69,-176.85,-112.23,-459,-7779,-3185,0,0,-1
162.69,-176.86,-112.23,-457,-7786,-3190,-1,0,-1
162.69,-176.86,-112.23,-461,-7789,-3189,-1,0,0
162.69,-176.86,-112.23,-458,-7781,-3185,-1,0,0
162.69,-176.86,-112.23,-462,-7786,-3181,-1,0,-1
162.69,-176.86,-112.24,-461,-7789,-3174,-1,0,-1
162.68,-176.85,-112.24,-464,-7791,-3182,-1,0,0
162.68,-176.86,-112.24,-463,-7789,-3190,-1,0,-1
162.68,-176.86,-112.24,-465,-7788,-3187,0,-1,0
162.69,-176.86,-112.24,-463,-7784,-3185,0,0,-1
162.69,-176.86,-112.24,-464,-7789,-3184,-1,0,0
162.69,-176.86,-112.24,-468,-7783,-3179,0,-1,-1
162.69,-176.86,-112.25,-462,-7783,-3185,-1,0,-1
162.69,-176.86,-112.25,-465,-7784,-3182,-1,0,-1
162.69,-176.86,-112.25,-464,-7782,-3191,0,-1,0
162.68,-176.86,-112.25,-463,-7784,-3193,0,0,0
162.69,-176.86,-112.25,-461,-7782,-3181,0,-1,-1
162.69,-176.87,-112.25,-464,-7788,-3176,-1,0,-1
162.68,-176.88,-112.27,-450,-7805,-3195,-1,0,-1
162.68,-176.88,-112.28,-441,-7779,-3201,0,-1,0
162.67,-176.87,-112.28,-447,-7761,-3170,-1,0,0
162.66,-176.87,-112.29,-467,-7780,-3193,-1,0,-1
162.65,-176.87,-112.29,-472,-7798,-3206,0,0,-1
162.66,-176.87,-112.29,-462,-7793,-3218,0,-1,0
162.67,-176.86,-112.27,-464,-7786,-3195,0,-1,0
162.67,-176.86,-112.25,-472,-7788,-3180,0,-1,-1
162.68,-176.86,-112.25,-465,-7794,-3184,0,-1,-1
162.68,-176.86,-112.25,-465,-7788,-3182,0,-1,0
162.68,-176.86,-112.24,-470,-7782,-3185,0,-1,0
162.68,-176.86,-112.24,-466,-7782,-3187,0,-1,0
162.68,-176.85,-112.24,-466,-7785,-3187,0,-1,0
162.68,-176.85,-112.24,-467,-7796,-3192,0,-1,-1
162.68,-176.85,-112.23,-462,-7797,-3190,0,-1,-1
162.69,-176.85,-112.23,-461,-7790,-3180,0,-1,0
162.69,-176.85,-112.23,-457,-7787,-3182,0,-1,0
162.69,-176.85,-112.23,-459,-7794,-3184,-1,-1,0
162.68,-176.85,-112.23,-466,-7793,-3188,-1,-1,-1
162.68,-176.85,-112.24,-462,-7788,-3196,-1,-1,-1
162.68,-176.85,-112.24,-467,-7785,-3194,0,-1,-1
162.68,-176.85,-112.23,-457,-7781,-3177,0,-1,0
162.68,-176.85,-112.23,-461,-7787,-3175,-1,-1,0
162.68,-176.85,-112.24,-466,-7790,-3185,-1,0,0
162.67,-176.85,-112.25,-465,-7788,-3195,-1,0,-1
162.68,-176.85,-112.24,-460,-7791,-3198,0,-1,-1
162.67,-176.85,-112.25,-461,-7793,-3193,-1,-1,0
162.67,-176.84,-112.25,-458,-7796,-3182,0,-1,0
162.67,-176.84,-112.25,-459,-7787,-3182,-1,0,0
162.67,-176.84,-112.25,-458,-7789,-3190,-1,0,0
162.66,-176.85,-112.26,-457,-7798,-3196,-1,-1,-1
162.66,-176.85,-112.26,-464,-7793,-3198,0,-1,0
162.66,-176.85,-112.26,-461,-7792,-3203,0,-1,0
162.66,-176.85,-112.26,-460,-7787,-3196,0,-1,-1
162.66,-176.84,-112.26,-466,-7783,-3194,-1,-1,0
162.66,-176.84,-112.26,-474,-7779,-3196,0,-1,0
162.66,-176.83,-112.26,-472,-7787,-3204,-1,-1,0
162.66,-176.83,-112.26,-470,-7797,-3202,-1,-1,-1
162.65,-176.84,-112.27,-463,-7792,-3204,-1,-1,0
162.65,-176.84,-112.27,-458,-7781,-3199,0,-1,0
162.65,-176.83,-112.27,-464,-7780,-3188,0,0,-1
162.65,-176.84,-112.27,-459,-7791,-3200,-1,0,-1
162.66,-176.84,-112.27,-456,-7792,-3199,-1,-1,-1
162.66,-176.84,-112.27,-448,-7782,-3187,-1,-1,0
162.65,-176.84,-112.28,-450,-7777,-3193,-1,-1,0
162.65,-176.83,-112.29,-456,-7786,-3202,0,-1,0
162.64,-176.83,-112.29,-457,-7782,-3197,-1,-1,0
162.64,-176.83,-112.29,-461,-7776,-3202,0,-1,0
162.64,-176.83,-112.29,-462,-7783,-3204,0,-1,0
162.65,-176.83,-112.28,-466,-7791,-3204,0,-1,-1
162.65,-176.83,-112.28,-457,-7784,-3193,0,-1,0
162.65,-176.83,-112.28,-459,-7787,-3197,-1,0,-1
162.65,-176.83,-112.28,-458,-7792,-3195,-1,-1,0
162.64,-176.82,-112.29,-457,-7793,-3201,-1,-1,0
162.64,-176.82,-112.29,-461,-7786,-3199,-1,-1,-1
162.64,-176.83,-112.30,-460,-7787,-3198,0,-1,-1
162.64,-176.83,-112.30,-461,-7785,-3191,-1,-1,0
162.64,-176.83,-112.30,-463,-7783,-3183,0,-1,0
162.64,-176.83,-112.30,-471,-7784,-3184,-1,-1,0
162.64,-176.82,-112.29,-467,-7787,-3181,-1,-1,0
162.64,-176.82,-112.29,-472,-7786,-3189,0,-1,0
162.63,-176.81,-112.29,-469,-7788,-3196,-1,-1,-1
162.63,-176.81,-112.30,-472,-7792,-3208,0,-1,-1
162.63,-176.81,-112.30,-471,-7787,-3212,0,-1,-1
162.63,-176.81,-112.30,-476,-7785,-3208,0,-1,0
162.63,-176.81,-112.29,-474,-7785,-3200,0,-1,-1
162.64,-176.81,-112.29,-470,-7788,-3197,0,-1,-1
162.64,-176.81,-112.29,-468,-7792,-3196,0,-1,0
162.64,-176.81,-112.29,-468,-7792,-3197,0,-1,-1
162.65,-176.81,-112.28,-468,-7784,-3202,0,-1,-1
162.65,-176.81,-112.28,-461,-7792,-3205,0,-1,-1
162.66,-176.81,-112.27,-457,-7793,-3196,-1,-1,0
162.66,-176.81,-112.26,-466,-7783,-3191,0,-1,-1
162.67,-176.81,-112.26,-472,-7784,-3185,0,-1,-1
162.67,-176.81,-112.26,-471,-7787,-3186,0,-1,-1
162.67,-176.82,-112.26,-468,-7792,-3196,0,-1,-1
162.68,-176.82,-112.25,-465,-7788,-3189,0,-1,-1
162.68,-176.82,-112.25,-463,-7788,-3195,0,-1,-1
162.69,-176.82,-112.24,-463,-7780,-3190,0,-1,0
162.70,-176.82,-112.24,-464,-7785,-3187,0,0,-1
162.70,-176.82,-112.24,-464,-7790,-3189,0,0,-1
162.70,-176.83,-112.24,-470,-7788,-3191,-1,0,-1
162.70,-176.83,-112.24,-470,-7783,-3188,-1,0,-1
162.69,-176.83,-112.25,-470,-7784,-3187,-1,0,-1
162.69,-176.83,-112.26,-461,-7788,-3198,-1,0,0
162.68,-176.83,-112.26,-470,-7789,-3197,-1,0,-1
162.68,-176.83,-112.26,-470,-7788,-3193,-1,0,0
162.68,-176.84,-112.26,-473,-7789,-3199,0,0,-1
162.68,-176.84,-112.26,-471,-7786,-3190,-1,0,0
162.68,-176.83,-112.26,-474,-7789,-3192,0,0,-1
162.68,-176.83,-112.26,-471,-7789,-3183,-1,0,0
162.68,-176.83,-112.26,-468,-7788,-3189,-1,0,-1
162.68,-176.84,-112.27,-468,-7782,-3196,-1,0,-1
162.68,-176.84,-112.27,-464,-7792,-3204,0,-1,0
162.68,-176.82,-112.25,-468,-7826,-3264,1,-2,0
162.71,-176.79,-112.19,-480,-7803,-3209,2,-2,0
162.74,-176.80,-112.14,-466,-7743,-3080,-1,0,-1
162.74,-176.83,-112.17,-453,-7748,-3079,-2,1,-1
162.72,-176.85,-112.22,-452,-7782,-3147,-2,0,-1
162.70,-176.85,-112.24,-449,-7804,-3204,-1,0,0
162.69,-176.85,-112.26,-453,-7813,-3229,-1,-1,0
162.68,-176.84,-112.26,-471,-7805,-3220,0,-1,0
162.69,-176.84,-112.25,-479,-7786,-3208,0,-1,-1
162.69,-176.84,-112.24,-467,-7771,-3184,-1,0,-1
162.70,-176.85,-112.25,-460,-7778,-3178,-1,0,0
162.69,-176.85,-112.25,-460,-7790,-3184,-1,0,0
162.69,-176.85,-112.26,-462,-7792,-3196,-1,-1,-1
162.69,-176.85,-112.26,-467,-7786,-3198,-1,-1,0
162.68,-176.85,-112.26,-468,-7778,-3184,-1,0,-1
162.68,-176.85,-112.27,-462,-7775,-3190,-1,0,-1
162.69,-176.86,-112.27,-461,-7781,-3194,-1,0,-1
162.69,-176.86,-112.27,-462,-7781,-3189,-1,0,-1
162.69,-176.86,-112.27,-459,-7782,-3194,-1,0,-1
162.68,-176.85,-112.27,-462,-7789,-3199,0,-1,0
162.68,-176.86,-112.28,-463,-7784,-3199,-1,0,0
162.68,-176.86,-112.28,-465,-7780,-3198,-1,0,0
162.67,-176.86,-112.29,-464,-7781,-3206,-1,0,0
162.67,-176.86,-112.29,-460,-7785,-3212,0,-1,0
162.67,-176.86,-112.29,-452,-7788,-3205,0,0,0
162.67,-176.86,-112.29,-458,-7799,-3207,-1,0,-1
162.67,-176.86,-112.29,-464,-7806,-3220,0,-1,0
