Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
81.95,179.11,-133.36,134,-6107,-5818,0,0,-1
81.94,179.10,-133.34,149,-6123,-5814,0,0,-1
81.92,179.08,-133.31,155,-6136,-5815,1,0,-1
81.92,179.07,-133.28,155,-6138,-5807,1,0,-1
81.91,179.05,-133.25,172,-6129,-5785,0,0,-1
81.91,179.02,-133.24,178,-6125,-5769,0,0,-1
81.91,179.00,-133.22,149,-6140,-5767,0,0,-1
81.90,179.00,-133.22,124,-6138,-5776,0,0,-1
81.90,179.00,-133.20,110,-6120,-5774,0,0,-1
81.89,178.98,-133.19,102,-6142,-5781,0,0,-1
81.88,178.95,-133.18,111,-6180,-5802,0,1,-1
81.87,178.92,-133.18,108,-6211,-5817,-1,1,-1
81.85,178.88,-133.20,109,-6205,-5821,-2,1,-1
81.84,178.83,-133.25,98,-6176,-5821,-2,2,-2
81.81,178.76,-133.31,140,-6128,-5808,-2,2,-2
81.80,178.66,-133.36,194,-6096,-5797,-2,2,-2
81.78,178.55,-133.38,251,-6074,-5774,-1,2,-3
81.77,178.46,-133.37,273,-6082,-5773,0,1,-2
81.75,178.42,-133.34,254,-6108,-5762,1,0,-1
81.75,178.43,-133.30,215,-6119,-5726,1,-1,0
81.75,178.47,-133.26,181,-6109,-5722,1,-2,0
81.75,178.49,-133.21,201,-6057,-5683,0,0,0
81.72,178.45,-133.25,246,-6040,-5728,-2,1,-1
81.70,178.38,-133.32,265,-6095,-5818,-2,2,-2
81.69,178.31,-133.36,273,-6172,-5877,-2,1,-2
81.70,178.24,-133.36,288,-6236,-5884,0,1,-2
81.71,178.17,-133.33,310,-6237,-5884,0,1,-3
81.74,178.10,-133.31,309,-6194,-5827,0,0,-2
81.77,178.05,-133.31,339,-6154,-5775,-1,0,-2
81.80,177.99,-133.33,315,-6130,-5724,-1,0,-2
81.83,177.96,-133.33,261,-6104,-5696,-1,0,-2
81.86,177.95,-133.36,215,-6025,-5684,-1,-1,-1
81.89,177.97,-133.40,206,-6006,-5690,-2,-1,0
81.90,178.00,-133.46,204,-6096,-5766,-2,-1,0
81.91,178.01,-133.49,214,-6203,-5867,-2,-1,-1
81.91,177.99,-133.54,245,-6232,-5942,-2,1,-1
81.91,177.94,-133.60,280,-6177,-5921,-2,1,-2
81.90,177.88,-133.65,297,-6098,-5824,-2,1,-2
81.91,177.84,-133.67,317,-6054,-5752,-1,0,-2
81.92,177.82,-133.66,321,-6013,-5704,0,0,-1
81.93,177.83,-133.64,317,-5972,-5655,0,-1,0
81.94,177.86,-133.64,323,-5989,-5702,-1,-2,0
81.96,177.89,-133.65,323,-6046,-5804,-1,-1,0
81.97,177.92,-133.66,300,-6112,-5901,0,-1,0
81.97,177.93,-133.66,273,-6136,-5923,0,-1,0
81.96,177.95,-133.66,250,-6141,-5904,-1,-1,0
81.96,177.96,-133.68,272,-6099,-5870,-2,-1,0
81.96,177.94,-133.75,339,-6047,-5876,-3,1,-1
81.94,177.89,-133.84,369,-6010,-5901,-3,1,-1
81.91,177.85,-133.88,361,-6019,-5896,-1,1,-1
81.89,177.82,-133.84,339,-6072,-5845,1,0,-1
81.88,177.82,-133.79,341,-6134,-5817,1,-1,-1
81.88,177.81,-133.76,315,-6169,-5800,0,0,-1
81.88,177.82,-133.77,262,-6160,-5745,-2,-1,0
81.89,177.82,-133.84,277,-6096,-5712,-4,0,-1
81.91,177.79,-133.97,339,-6014,-5729,-6,1,-1
81.92,177.72,-134.14,369,-5985,-5804,-6,1,-2
81.93,177.68,-134.24,337,-5976,-5865,-3,0,-1
81.94,177.69,-134.28,335,-5952,-5861,-2,-1,0
81.95,177.71,-134.33,354,-5971,-5914,-2,-1,0
81.95,177.72,-134.38,361,-6050,-5994,-2,0,0
81.94,177.72,-134.43,324,-6099,-6029,-2,0,0
81.91,177.70,-134.48,314,-6088,-5987,-3,1,-1
81.89,177.66,-134.53,322,-6067,-5916,-2,1,-1
81.88,177.63,-134.56,307,-6004,-5828,-2,0,-1
81.88,177.63,-134.57,327,-5911,-5746,-1,0,-1
81.88,177.63,-134.60,349,-5890,-5723,-2,-1,0
81.89,177.70,-134.64,276,-5926,-5792,-2,-2,1
81.93,177.76,-134.71,352,-5984,-5875,-3,-2,0
81.95,177.77,-134.83,368,-6066,-6029,-4,-1,-1
81.94,177.78,-134.92,273,-6104,-6087,-4,0,0
81.93,177.78,-135.00,318,-5984,-6053,-3,0,0
81.92,177.75,-135.06,328,-5912,-5957,-3,0,-1
81.92,177.73,-135.10,328,-5883,-5933,-1,0,-1
81.91,177.72,-135.11,373,-5802,-5929,0,0,0
81.90,177.72,-135.10,380,-5804,-5920,0,-1,0
81.90,177.75,-135.09,348,-5940,-5999,0,-1,0
81.88,177.79,-135.08,309,-6077,-6090,0,-1,0
81.87,177.78,-135.09,295,-6090,-6100,-1,1,-1
81.85,177.74,-135.13,294,-5977,-6015,-2,1,-1
81.84,177.70,-135.18,330,-5845,-5885,-2,1,-1
81.85,177.67,-135.20,360,-5790,-5850,-1,0,-1
81.83,177.66,-135.21,371,-5844,-5902,0,-1,0
81.83,177.68,-135.19,359,-5914,-5980,0,-1,0
81.82,177.71,-135.18,342,-5982,-6036,0,-1,0
81.81,177.73,-135.17,307,-6019,-6047,0,0,0
81.80,177.71,-135.17,289,-6016,-6012,-1,0,-1
81.79,177.69,-135.18,305,-5973,-5937,-1,0,-1
81.79,177.65,-135.20,344,-5906,-5889,-2,0,-1
81.80,177.63,-135.23,365,-5863,-5872,-1,-1,-1
81.81,177.65,-135.25,380,-5863,-5910,-1,-1,0
81.83,177.68,-135.28,364,-5888,-5979,-1,-1,0
81.85,177.70,-135.28,337,-5950,-6025,0,-1,0
81.85,177.69,-135.29,346,-5960,-6073,-1,0,-1
81.84,177.68,-135.29,338,-5949,-6071,0,0,-1
81.85,177.68,-135.29,318,-5888,-6001,-1,0,0
81.84,177.67,-135.31,311,-5904,-5993,-1,0,-1
81.84,177.67,-135.30,341,-5917,-5969,-1,0,-1
81.85,177.66,-135.29,328,-5929,-5953,0,-1,-1
81.85,177.66,-135.31,336,-5822,-5966,-1,-1,0
81.85,177.68,-135.35,361,-5749,-5956,-2,-1,1
81.86,177.71,-135.37,362,-5886,-6033,-1,-1,0
81.85,177.68,-135.35,336,-6083,-6175,1,1,-1
81.81,177.62,-135.29,315,-6042,-6119,1,1,-1
81.78,177.61,-135.24,343,-5845,-5941,1,0,0
81.77,177.61,-135.25,376,-5750,-5862,-1,-1,0
81.78,177.61,-135.26,378,-5824,-5929,0,0,0
81.76,177.60,-135.22,351,-5982,-6029,1,0,-1
81.75,177.58,-135.16,345,-6060,-6059,2,0,-1
81.72,177.58,-135.10,314,-6055,-5996,1,0,0
81.72,177.59,-135.06,294,-5985,-5901,0,-1,0
81.71,177.59,-135.07,301,-5882,-5836,-2,0,-1
81.73,177.59,-135.12,316,-5848,-5843,-2,-1,-1
81.74,177.59,-135.15,363,-5839,-5922,-1,-1,0
81.75,177.59,-135.16,392,-5880,-6011,0,-1,0
81.74,177.61,-135.15,368,-5983,-6083,1,-1,0
81.73,177.63,-135.10,310,-6066,-6080,1,0,0
81.71,177.63,-135.06,310,-6012,-6008,1,0,-1
81.70,177.59,-135.06,364,-5888,-5903,-1,0,-1
81.71,177.55,-135.11,407,-5825,-5905,-2,0,-1
81.73,177.53,-135.14,415,-5883,-5959,-1,-1,0
81.74,177.55,-135.14,395,-5926,-6032,0,-1,0
81.74,177.57,-135.12,355,-5933,-6038,1,-1,0
81.72,177.59,-135.10,318,-5932,-6028,0,-1,0
81.70,177.59,-135.06,312,-5986,-6017,1,0,-1
81.69,177.56,-135.03,321,-5994,-5988,0,1,-1
81.68,177.52,-135.01,336,-5966,-5939,0,0,-1
81.68,177.51,-135.01,349,-5935,-5894,-1,-1,0
81.68,177.53,-135.02,348,-5930,-5882,-1,-1,0
81.70,177.56,-135.02,334,-5942,-5892,-1,-1,0
81.70,177.59,-135.04,326,-5961,-5950,-1,-1,0
81.71,177.59,-135.07,344,-5968,-5981,-1,0,-1
81.72,177.57,-135.10,364,-5933,-6020,-1,0,-1
81.72,177.56,-135.12,380,-5885,-5982,-1,-1,0
81.73,177.57,-135.13,377,-5909,-5972,0,-1,0
81.72,177.58,-135.13,351,-5942,-6017,0,0,0
81.71,177.58,-135.12,351,-5909,-5991,0,0,0
81.71,177.58,-135.11,383,-5860,-5950,0,0,0
81.69,177.58,-135.12,362,-5895,-5966,0,-1,0
81.69,177.60,-135.10,353,-5968,-6011,0,-1,0
81.68,177.58,-135.09,373,-5995,-6031,0,0,-1
81.68,177.56,-135.08,357,-5956,-5984,0,0,-1
81.67,177.55,-135.07,340,-5916,-5919,0,-1,0
81.67,177.57,-135.06,326,-5936,-5897,0,-1,0
81.67,177.58,-135.05,332,-5978,-5904,0,-1,-1
81.68,177.58,-135.05,343,-5977,-5924,-1,0,-1
81.70,177.58,-135.08,371,-5941,-5931,-2,-1,0
81.71,177.59,-135.13,382,-5931,-5953,-2,-1,0
81.73,177.60,-135.18,358,-5957,-6004,-2,-1,-1
81.75,177.61,-135.21,350,-5939,-6023,-1,0,-1
81.75,177.60,-135.23,357,-5893,-5986,-1,-1,-1
81.76,177.61,-135.24,355,-5883,-5965,0,-1,0
81.77,177.61,-135.24,370,-5887,-5971,0,-1,-1
81.79,177.60,-135.25,390,-5907,-5989,-1,-1,-1
81.80,177.60,-135.25,383,-5921,-6004,-1,-1,-1
81.82,177.62,-135.27,344,-5926,-6005,-1,-1,0
81.83,177.64,-135.29,290,-5928,-6005,-1,-1,0
81.84,177.66,-135.30,271,-5898,-5992,-1,-1,-1
81.83,177.65,-135.30,292,-5882,-5976,0,0,-1
81.83,177.64,-135.28,325,-5897,-5971,0,0,-1
81.84,177.66,-135.26,387,-5910,-6041,2,-2,1
81.82,177.75,-135.14,330,-5908,-6014,4,-2,1
