RED,IR,EKG,TIME
49790,105494,9
49788,105485,5
49757,105475,8
49775,105476,5
49777,105484,5
49785,105492,5
49785,105494,8
49784,105490,5
49784,105485,5
49780,105485,13
49780,105485,5
49788,105478,5
49786,105492,8
49778,105481,5
49779,105484,5
49788,105498,8
49785,105503,5
49785,105494,5
49773,105465,8
49781,105472,5
49776,105487,5
49782,105491,5
49782,105491,8
49777,105486,5
49787,105501,5
49783,105502,8
49786,105497,5
49796,105503,5
49793,105522,5
49787,105487,8
49776,105449,5
49787,105471,5
49766,105477,8
49781,105472,5
49781,105472,5
49788,105498,8
49787,105490,5
49786,105491,5
49779,105492,5
49796,105500,8
49792,105489,5
49784,105500,5
49792,105503,8
49792,105503,5
49752,105499,5
49785,105500,5
49795,105495,8
49796,105533,5
49787,105518,5
49796,105506,8
49793,105516,5
49798,105521,5
49800,105530,8
49790,105531,5
49794,105514,5
49783,105522,5
49788,105499,8
49788,105499,5
49782,105527,5
49785,105516,8
49791,105484,5
49789,105488,5
49794,105498,5
49810,105506,8
49799,105503,5
49770,105503,5
49794,105507,8
49802,105528,5
49799,105526,5
49799,105520,8
49799,105520,5
49797,105502,5
49802,105476,5
49796,105509,8
49810,105531,5
49802,105539,5
49775,105551,8
49787,105554,5
49817,105562,5
49813,105560,5
49814,105563,8
49818,105555,5
49814,105549,5
49813,105545,8
49813,105545,5
49810,105541,5
49819,105540,8
49819,105555,5
49815,105551,5
49800,105555,5
49818,105560,8
49819,105577,5
49821,105573,5
49816,105556,8
49817,105559,5
49819,105561,5
49824,105564,5
49824,105564,8
49817,105575,2
49824,105575,2
49808,105565,5
49812,105575,4
49822,105569,4
49821,105574,5
49828,105575,5
49835,105571,5
49829,105601,4
49826,105589,5
49835,105598,5
49845,105610,5
49850,105613,5
49853,105629,4
49852,105630,5
49857,105641,5
49855,105641,5
49860,105637,5
49854,105645,4
49855,105644,5
49848,105641,5
49856,105648,5
49862,105653,5
49873,105672,5
49870,105676,4
49878,105694,5
49885,105714,5
49910,105737,6
49915,105763,3
49915,105771,5
49930,105781,5
49938,105793,5
49936,105808,5
49949,105816,4
49944,105824,5
49943,105828,5
49962,105847,5
49954,105850,4
49968,105863,4
49972,105868,5
49982,105886,5
49973,105888,5
49985,105904,4
49988,105913,5
49992,105911,5
49986,105924,5
49994,105927,5
50000,105930,4
50005,105939,6
50018,105940,4
50013,105950,5
50009,105956,5
50013,105950,6
50017,105945,3
50006,105952,5
50015,105941,5
50018,105962,5
50033,105965,4
50011,105962,5
50023,105978,5
50021,105975,5
50032,105981,5
50017,105981,4
50024,105978,5
50027,105988,5
50031,105988,5
50019,105989,5
50039,106009,4
50037,106013,5
50045,106003,5
50044,106019,5
50051,106026,4
50044,106013,5
50041,106012,6
50045,106023,4
50045,106015,5
50044,106008,4
50035,105994,7
50032,105988,3
50034,105986,5
50033,105979,5
50030,105990,4
50019,105971,5
50031,105981,5
50036,105987,5
50034,106014,5
50039,106002,4
50033,105994,5
50045,106010,5
50038,106014,5
50038,106000,5
50044,106007,4
50044,106010,5
50044,106029,5
50036,106017,5
50049,106029,5
50051,106028,4
50044,106016,5
50047,106029,6
50045,106031,4
50041,106019,4
50051,106031,4
50060,106033,5
50050,106029,5
50051,106032,5
50060,106033,4
50054,106035,5
50056,106032,5
