Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
63.28,17.71,-19.98,2470,-2654,7358,0,0,-1
63.28,17.70,-19.94,2485,-2643,7360,1,0,0
63.27,17.69,-19.92,2444,-2636,7398,0,-1,0
63.27,17.68,-19.91,2487,-2636,7380,0,0,0
63.26,17.68,-19.90,2450,-2638,7388,0,-1,0
63.27,17.69,-19.87,2496,-2627,7368,0,0,0
63.26,17.69,-19.87,2453,-2636,7377,0,-1,0
63.26,17.69,-19.86,2479,-2636,7366,0,0,0
63.26,17.68,-19.83,2459,-2636,7384,1,-1,0
63.25,17.68,-19.81,2471,-2626,7380,0,-1,0
63.24,17.67,-19.79,2462,-2637,7377,0,0,0
63.23,17.66,-19.78,2438,-2627,7395,0,0,0
63.23,17.64,-19.77,2456,-2622,7403,0,0,0
63.23,17.63,-19.75,2415,-2621,7418,0,-1,0
63.23,17.63,-19.73,2459,-2601,7411,0,0,0
63.22,17.61,-19.72,2439,-2626,7438,0,-1,0
63.23,17.62,-19.70,2489,-2610,7412,0,-1,-1
63.24,17.63,-19.68,2481,-2593,7410,0,-1,0
63.23,17.64,-19.67,2488,-2592,7377,-1,0,0
63.22,17.62,-19.67,2470,-2590,7375,0,0,0
63.23,17.62,-19.66,2450,-2584,7378,-1,0,-1
63.22,17.60,-19.64,2455,-2596,7360,0,0,0
63.23,17.59,-19.63,2444,-2613,7399,0,0,0
63.22,17.57,-19.61,2455,-2636,7396,0,0,0
63.22,17.56,-19.58,2436,-2629,7412,0,-1,-1
63.21,17.55,-19.58,2449,-2626,7383,-1,0,0
63.21,17.55,-19.58,2436,-2633,7390,-1,-1,0
63.21,17.55,-19.58,2439,-2611,7403,0,-1,-1
63.22,17.55,-19.56,2454,-2592,7398,0,-1,-1
63.22,17.55,-19.55,2454,-2586,7385,0,-1,-1
63.24,17.55,-19.53,2469,-2561,7382,-1,0,-1
63.24,17.54,-19.53,2437,-2565,7396,0,-1,-1
63.24,17.54,-19.52,2460,-2549,7408,-1,0,0
63.23,17.53,-19.52,2441,-2560,7422,-1,-1,0
63.20,17.54,-19.54,2484,-2564,7410,-1,-1,0
63.17,17.54,-19.55,2452,-2605,7424,0,-1,0
63.14,17.54,-19.57,2483,-2615,7404,-1,-1,1
63.11,17.53,-19.60,2440,-2640,7414,-1,-1,0
63.09,17.53,-19.62,2465,-2627,7427,-1,-1,0
63.07,17.51,-19.64,2427,-2648,7431,-1,-1,0
63.07,17.52,-19.65,2462,-2639,7406,-1,-1,-1
63.08,17.51,-19.64,2439,-2638,7392,0,0,-1
63.10,17.51,-19.62,2455,-2609,7379,0,0,-1
63.12,17.50,-19.60,2437,-2599,7381,0,0,-1
63.14,17.51,-19.58,2433,-2562,7395,-1,-1,-1
63.16,17.51,-19.57,2454,-2553,7387,0,0,-1
63.16,17.51,-19.57,2432,-2540,7408,-1,-1,-1
63.17,17.50,-19.56,2444,-2547,7410,-1,0,0
63.16,17.49,-19.58,2409,-2557,7434,-1,-1,0
63.15,17.47,-19.59,2429,-2570,7412,-1,0,0
63.13,17.48,-19.62,2404,-2590,7423,-1,-1,0
63.12,17.48,-19.64,2442,-2587,7392,-2,-1,0
63.12,17.49,-19.68,2429,-2604,7396,-2,-1,0
63.11,17.50,-19.71,2465,-2612,7366,-2,0,-1
63.12,17.50,-19.73,2425,-2633,7384,-1,-1,-1
63.13,17.51,-19.74,2456,-2615,7377,-1,0,-1
63.14,17.51,-19.74,2436,-2632,7380,-1,-1,-1
63.14,17.53,-19.74,2471,-2610,7374,-1,-1,-1
63.14,17.53,-19.74,2445,-2613,7381,-1,-1,0
63.14,17.53,-19.75,2445,-2602,7386,-1,0,0
63.13,17.51,-19.76,2439,-2625,7397,-1,0,0
63.14,17.51,-19.77,2425,-2633,7419,-1,-1,-1
63.14,17.49,-19.79,2448,-2657,7436,-1,0,0
63.13,17.48,-19.81,2419,-2664,7446,-1,-1,-1
63.15,17.48,-19.82,2452,-2651,7421,-1,0,-1
63.16,17.49,-19.84,2434,-2653,7402,-1,-1,-1
63.18,17.51,-19.85,2481,-2650,7358,-1,-1,-1
63.20,17.53,-19.85,2458,-2651,7372,0,-1,-1
63.20,17.54,-19.84,2499,-2625,7365,-1,-1,0
63.20,17.55,-19.84,2458,-2641,7375,0,-1,0
63.18,17.55,-19.85,2478,-2628,7365,-1,0,0
