Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
-28.74,-3.71,35.63,-537,4717,6560,-1,-1,0
-28.75,-3.70,35.63,-539,4720,6571,-1,-1,0
-28.75,-3.70,35.63,-533,4718,6565,-1,-1,0
-28.75,-3.70,35.63,-537,4702,6574,-1,-1,0
-28.75,-3.70,35.63,-527,4711,6573,0,-1,-1
-28.75,-3.70,35.63,-535,4712,6572,-1,0,-1
-28.75,-3.70,35.63,-532,4711,6566,-1,0,0
-28.75,-3.70,35.63,-537,4712,6576,0,0,-1
-28.75,-3.70,35.63,-533,4707,6570,0,0,0
-28.75,-3.71,35.63,-538,4713,6577,0,0,0
-28.75,-3.71,35.63,-536,4718,6569,0,0,-1
-28.74,-3.71,35.63,-541,4719,6576,-1,0,0
-28.74,-3.71,35.63,-538,4718,6577,-1,0,0
-28.74,-3.71,35.63,-534,4715,6571,-1,-1,0
-28.75,-3.71,35.63,-536,4717,6569,-1,-1,0
-28.75,-3.71,35.63,-528,4713,6568,0,-1,0
-28.75,-3.71,35.63,-534,4714,6576,0,-1,0
-28.74,-3.71,35.63,-530,4720,6569,0,-1,-1
-28.74,-3.72,35.64,-534,4722,6568,0,0,-1
-28.74,-3.72,35.63,-539,4715,6570,-1,-1,-1
-28.74,-3.72,35.63,-544,4710,6572,-1,0,0
-28.74,-3.72,35.63,-547,4712,6582,0,-1,0
-28.74,-3.72,35.63,-537,4722,6578,0,-1,0
-28.73,-3.72,35.64,-530,4728,6572,-1,-1,0
-28.73,-3.72,35.64,-528,4715,6566,-1,-1,0
-28.74,-3.72,35.63,-530,4705,6567,-1,0,-1
-28.74,-3.73,35.63,-535,4705,6572,0,0,-1
-28.74,-3.73,35.63,-541,4707,6580,0,0,-1
-28.73,-3.74,35.63,-549,4714,6581,0,0,-1
-28.73,-3.74,35.63,-550,4714,6592,0,0,0
-28.73,-3.74,35.63,-547,4717,6589,0,-1,0
-28.74,-3.74,35.63,-535,4715,6573,0,-1,0
-28.73,-3.74,35.64,-531,4711,6567,0,-1,0
-28.73,-3.74,35.64,-532,4715,6562,-1,0,0
-28.73,-3.74,35.64,-535,4708,6565,-1,0,-1
-28.73,-3.75,35.63,-537,4705,6567,-1,0,-1
-28.73,-3.75,35.63,-532,4706,6563,0,0,0
-28.73,-3.75,35.63,-537,4711,6563,0,0,0
-28.73,-3.74,35.64,-535,4715,6567,-1,-1,0
-28.73,-3.75,35.63,-534,4712,6570,-1,0,-1
-28.73,-3.75,35.63,-532,4704,6573,0,0,-1
-28.73,-3.75,35.63,-533,4711,6569,0,0,-1
-28.73,-3.75,35.64,-537,4711,6564,0,0,0
-28.72,-3.75,35.64,-537,4721,6571,0,0,0
-28.72,-3.75,35.64,-532,4721,6571,0,0,0
-28.73,-3.76,35.65,-537,4724,6571,0,-1,0
-28.73,-3.76,35.65,-537,4719,6566,-1,0,-1
-28.73,-3.76,35.65,-540,4717,6569,0,0,-1
-28.72,-3.76,35.65,-540,4722,6571,-1,0,-1
-28.71,-3.77,35.65,-539,4721,6570,0,0,-1
-28.71,-3.77,35.66,-538,4724,6558,-1,0,-1
-28.71,-3.78,35.65,-542,4722,6565,-1,0,-1
-28.71,-3.78,35.65,-543,4716,6573,-1,0,0
-28.71,-3.79,35.65,-543,4710,6569,0,0,-1
-28.70,-3.79,35.65,-535,4707,6576,0,0,-1
-28.70,-3.80,35.65,-541,4721,6576,0,0,-1
-28.70,-3.80,35.65,-543,4726,6570,-1,0,-1
-28.70,-3.80,35.65,-543,4721,6572,-1,0,0
-28.71,-3.80,35.64,-548,4709,6571,0,-1,0
-28.71,-3.80,35.64,-546,4708,6569,0,0,-1
-28.70,-3.80,35.64,-542,4702,6568,0,0,-1
-28.70,-3.81,35.65,-542,4705,6570,0,0,-1
-28.69,-3.80,35.65,-545,4711,6574,0,-1,0
-28.69,-3.80,35.65,-538,4711,6573,0,-1,0
-28.69,-3.80,35.65,-536,4714,6568,0,-1,0
-28.69,-3.80,35.65,-535,4715,6564,-1,0,-1
-28.70,-3.81,35.65,-547,4710,6571,-1,0,0
-28.70,-3.81,35.65,-550,4712,6573,-1,-1,0
-28.70,-3.81,35.65,-545,4713,6579,0,-1,0
-28.70,-3.81,35.65,-537,4710,6581,0,-1,0
-28.70,-3.80,35.64,-540,4705,6579,-1,0,-1
-28.70,-3.81,35.65,-542,4712,6573,-1,0,-1
-28.70,-3.81,35.64,-546,4716,6577,-1,0,-1
-28.70,-3.81,35.64,-552,4720,6578,-1,0,0
-28.69,-3.82,35.64,-555,4716,6575,0,0,0
-28.69,-3.82,35.64,-547,4715,6586,0,-1,0
-28.70,-3.81,35.65,-544,4711,6579,0,-1,0
-28.70,-3.81,35.65,-537,4715,6578,0,-1,0
-28.70,-3.81,35.65,-542,4714,6564,0,-1,0
-28.70,-3.81,35.65,-548,4712,6564,0,0,0
-28.69,-3.80,35.65,-535,4713,6564,0,-1,-1
-28.69,-3.81,35.66,-533,4720,6570,0,0,-1
-28.70,-3.81,35.65,-539,4717,6576,-1,0,0
-28.70,-3.81,35.65,-538,4710,6575,-1,-1,0
-28.70,-3.81,35.65,-543,4712,6581,0,-1,0
