Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
-159.65,4.01,-27.76,597,-3853,7290,0,-1,-1
-159.64,4.02,-27.75,600,-3851,7313,0,0,-1
-159.65,4.01,-27.75,594,-3840,7315,0,-1,0
-159.65,4.02,-27.74,592,-3837,7309,-1,-1,0
-159.66,4.02,-27.75,581,-3842,7305,-1,-1,0
-159.66,4.02,-27.76,575,-3847,7305,-1,-1,0
-159.66,4.02,-27.76,570,-3841,7305,-1,0,-1
-159.66,4.02,-27.76,567,-3845,7301,-1,-1,-1
-159.66,4.02,-27.76,573,-3844,7300,0,-1,0
-159.66,4.02,-27.76,583,-3842,7303,0,-1,0
-159.66,4.02,-27.76,589,-3838,7302,-1,-1,-1
-159.66,4.02,-27.76,587,-3846,7292,-1,-1,0
-159.66,4.02,-27.77,585,-3850,7285,0,0,-1
-159.66,4.02,-27.76,580,-3838,7289,0,-1,-1
-159.66,4.03,-27.76,579,-3824,7294,0,0,-1
-159.65,4.03,-27.76,587,-3831,7283,-1,0,-1
-159.65,4.03,-27.76,581,-3846,7296,0,0,-1
-159.65,4.03,-27.76,585,-3845,7289,0,-1,0
-159.65,4.03,-27.76,586,-3861,7305,0,0,-1
-159.65,4.03,-27.76,579,-3840,7307,0,-1,0
-159.65,4.04,-27.76,580,-3839,7304,-1,-1,-1
-159.65,4.04,-27.76,584,-3844,7297,-1,-1,-1
-159.65,4.04,-27.76,590,-3848,7290,0,-1,0
-159.65,4.04,-27.75,598,-3841,7295,0,0,-1
-159.64,4.04,-27.74,601,-3834,7310,0,0,0
-159.64,4.04,-27.74,597,-3836,7304,0,0,0
-159.64,4.04,-27.74,594,-3841,7302,0,0,0
-159.64,4.04,-27.74,585,-3848,7299,0,0,0
-159.64,4.04,-27.74,581,-3843,7306,-1,-1,-1
-159.64,4.04,-27.74,582,-3850,7308,0,-1,-1
-159.64,4.05,-27.74,589,-3849,7305,0,-1,-1
-159.64,4.05,-27.74,594,-3838,7298,0,0,0
-159.64,4.05,-27.74,601,-3838,7295,0,0,0
-159.64,4.05,-27.74,588,-3838,7301,-1,0,0
-159.64,4.05,-27.74,583,-3844,7292,-1,-1,0
-159.64,4.05,-27.75,584,-3846,7287,-1,-1,0
-159.64,4.05,-27.75,577,-3846,7291,0,-1,-1
-159.64,4.06,-27.75,579,-3857,7295,0,-1,-1
